  
       XFOIL         Version 6.99
  
 Calculated polar for: ag10.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0676   0.00565   0.00101  -0.0287   0.7832   0.0199
  -1.500  -0.0108   0.00578   0.00085  -0.0286   0.6655   0.0308
  -1.000   0.0463   0.00593   0.00074  -0.0287   0.5521   0.0500
  -0.500   0.1034   0.00605   0.00068  -0.0288   0.4594   0.0764
   0.000   0.1606   0.00612   0.00065  -0.0289   0.3893   0.1168
   0.500   0.2178   0.00608   0.00066  -0.0290   0.3389   0.1925
   1.000   0.2752   0.00594   0.00072  -0.0292   0.2952   0.3322
   1.500   0.3314   0.00478   0.00086  -0.0297   0.2551   0.8870
   2.000   0.3841   0.00473   0.00089  -0.0285   0.2183   1.0000
   2.500   0.4411   0.00501   0.00102  -0.0285   0.1805   1.0000
   3.500   0.5547   0.00567   0.00137  -0.0284   0.1083   1.0000
   4.000   0.6112   0.00608   0.00162  -0.0284   0.0737   1.0000
   4.500   0.6676   0.00652   0.00192  -0.0283   0.0472   1.0000
   5.000   0.7237   0.00700   0.00228  -0.0281   0.0278   1.0000
   5.500   0.7797   0.00748   0.00269  -0.0279   0.0155   1.0000
   6.000   0.8354   0.00801   0.00318  -0.0277   0.0089   1.0000
   6.500   0.8910   0.00855   0.00373  -0.0274   0.0065   1.0000
   7.000   0.9464   0.00903   0.00424  -0.0271   0.0057   1.0000
   7.500   1.0012   0.00970   0.00495  -0.0268   0.0049   1.0000
   8.000   1.0552   0.01062   0.00599  -0.0263   0.0044   1.0000
   8.500   1.1093   0.01131   0.00676  -0.0258   0.0043   1.0000
   9.000   1.1629   0.01208   0.00760  -0.0253   0.0040   1.0000
   9.500   1.2156   0.01299   0.00860  -0.0247   0.0037   1.0000
  10.000   1.2673   0.01406   0.00979  -0.0240   0.0034   1.0000
