  
       XFOIL         Version 6.99
  
 Calculated polar for: ag46ct02r.dat                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0547   0.00590   0.00076  -0.0292   0.6215   0.0152
  -1.500   0.0018   0.00573   0.00059  -0.0291   0.5796   0.0450
  -1.000   0.0584   0.00553   0.00046  -0.0290   0.5397   0.1091
  -0.500   0.1148   0.00529   0.00039  -0.0291   0.5004   0.2154
   0.000   0.1712   0.00506   0.00037  -0.0291   0.4549   0.3501
   0.500   0.2272   0.00472   0.00039  -0.0293   0.4080   0.5501
   1.000   0.2827   0.00441   0.00045  -0.0292   0.3609   0.7552
   1.500   0.3342   0.00417   0.00056  -0.0280   0.3143   0.9311
   2.000   0.3922   0.00435   0.00065  -0.0281   0.2647   1.0000
   2.500   0.4486   0.00465   0.00078  -0.0281   0.2224   1.0000
   3.000   0.5048   0.00498   0.00094  -0.0280   0.1796   1.0000
   3.500   0.5609   0.00533   0.00113  -0.0279   0.1425   1.0000
   4.000   0.6169   0.00569   0.00136  -0.0278   0.1109   1.0000
   4.500   0.6728   0.00604   0.00161  -0.0276   0.0882   1.0000
   5.000   0.7286   0.00640   0.00189  -0.0275   0.0692   1.0000
   5.500   0.7841   0.00685   0.00224  -0.0273   0.0493   1.0000
   6.000   0.8394   0.00728   0.00262  -0.0270   0.0355   1.0000
   6.500   0.8944   0.00777   0.00305  -0.0268   0.0248   1.0000
   7.000   0.9490   0.00833   0.00358  -0.0265   0.0160   1.0000
   7.500   1.0034   0.00892   0.00415  -0.0261   0.0107   1.0000
   8.000   1.0573   0.00957   0.00481  -0.0257   0.0072   1.0000
   8.500   1.1104   0.01039   0.00568  -0.0252   0.0047   1.0000
   9.000   1.1638   0.01101   0.00636  -0.0248   0.0043   1.0000
   9.500   1.2162   0.01184   0.00724  -0.0242   0.0034   1.0000
  10.000   1.2666   0.01308   0.00863  -0.0234   0.0026   1.0000
