  
       XFOIL         Version 6.99
  
 Calculated polar for: ah79100b.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.7016   0.00561   0.00095  -0.2158   0.6615   0.0251
  -1.500   0.7595   0.00554   0.00088  -0.2162   0.6515   0.0332
  -1.000   0.8171   0.00549   0.00086  -0.2166   0.6399   0.0547
  -0.500   0.8749   0.00541   0.00087  -0.2171   0.6274   0.1149
   0.000   0.9343   0.00515   0.00092  -0.2182   0.6134   0.2847
   0.500   0.9915   0.00508   0.00105  -0.2187   0.5908   0.4313
   1.000   1.0469   0.00521   0.00118  -0.2187   0.5682   0.4936
   1.500   1.1024   0.00533   0.00133  -0.2187   0.5493   0.5457
   2.000   1.1564   0.00556   0.00151  -0.2184   0.5199   0.5797
   2.500   1.2097   0.00584   0.00171  -0.2180   0.4927   0.6069
   3.000   1.2615   0.00622   0.00198  -0.2172   0.4535   0.6392
   3.500   1.3138   0.00654   0.00226  -0.2167   0.4241   0.6801
   4.000   1.3635   0.00702   0.00264  -0.2156   0.3804   0.7369
   4.500   1.4106   0.00763   0.00315  -0.2141   0.3240   0.8273
   5.000   1.4457   0.00856   0.00388  -0.2101   0.2382   1.0000
   5.500   1.4817   0.00997   0.00480  -0.2065   0.1485   1.0000
   6.000   1.5154   0.01146   0.00585  -0.2025   0.0692   1.0000
   6.500   1.5559   0.01239   0.00661  -0.1997   0.0413   1.0000
   7.000   1.5963   0.01322   0.00733  -0.1969   0.0230   1.0000
   7.500   1.6273   0.01424   0.00826  -0.1922   0.0078   1.0000
   8.000   1.6607   0.01501   0.00905  -0.1880   0.0059   1.0000
   8.500   1.6935   0.01582   0.00989  -0.1839   0.0054   1.0000
   9.000   1.7266   0.01674   0.01084  -0.1800   0.0049   1.0000
   9.500   1.7553   0.01787   0.01203  -0.1754   0.0044   1.0000
  10.000   1.7828   0.01914   0.01335  -0.1710   0.0041   1.0000
