  
       XFOIL         Version 6.99
  
 Calculated polar for: ah81k144wfKlappe.dat                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1103   0.00841   0.00241  -0.0201   0.2005   0.2002
  -1.500  -0.0521   0.00841   0.00238  -0.0191   0.1983   0.2005
  -1.000   0.0065   0.00842   0.00235  -0.0182   0.1939   0.2006
  -0.500   0.0659   0.00841   0.00232  -0.0174   0.1911   0.2007
   0.000   0.1260   0.00839   0.00229  -0.0168   0.1904   0.2007
   0.500   0.1868   0.00839   0.00228  -0.0163   0.1884   0.2008
   1.000   0.2474   0.00847   0.00230  -0.0159   0.1803   0.2009
   1.500   0.3050   0.00888   0.00252  -0.0151   0.1478   0.2009
   2.000   0.3600   0.00965   0.00306  -0.0140   0.1008   0.2011
   2.500   0.4218   0.00990   0.00326  -0.0140   0.0922   0.2017
   3.000   0.4848   0.01005   0.00340  -0.0141   0.0910   0.2018
   3.500   0.5519   0.01020   0.00355  -0.0151   0.0906   0.2023
   4.000   0.6208   0.01036   0.00372  -0.0166   0.0901   0.2027
   4.500   0.6856   0.01054   0.00390  -0.0172   0.0898   0.2032
   5.000   0.7479   0.01074   0.00411  -0.0173   0.0896   0.2036
   5.500   0.8089   0.01096   0.00435  -0.0171   0.0893   0.2043
   6.000   0.8690   0.01120   0.00460  -0.0168   0.0892   0.2049
   6.500   0.9285   0.01146   0.00489  -0.0164   0.0889   0.2070
   7.000   0.9879   0.01173   0.00519  -0.0161   0.0887   0.2124
   7.500   1.0472   0.01199   0.00553  -0.0157   0.0886   0.2213
   8.000   1.1045   0.01235   0.00596  -0.0151   0.0876   0.2345
   8.500   1.1609   0.01271   0.00635  -0.0142   0.0874   0.2379
   9.000   1.2157   0.01317   0.00684  -0.0132   0.0863   0.2389
   9.500   1.2714   0.01356   0.00728  -0.0123   0.0864   0.2447
  10.000   1.3258   0.01403   0.00780  -0.0113   0.0855   0.2508
