  
       XFOIL         Version 6.99
  
 Calculated polar for: ah82150a.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2473   0.00555   0.00102  -0.1036   0.6608   0.2143
  -1.500   0.3040   0.00497   0.00087  -0.1047   0.6530   0.3809
  -1.000   0.3625   0.00411   0.00068  -0.1063   0.6488   0.6243
  -0.500   0.4213   0.00405   0.00072  -0.1072   0.6424   0.6754
   0.000   0.4804   0.00411   0.00078  -0.1081   0.6360   0.6965
   0.500   0.5392   0.00417   0.00084  -0.1090   0.6287   0.7064
   1.000   0.5980   0.00428   0.00092  -0.1099   0.6215   0.7126
   1.500   0.6562   0.00433   0.00097  -0.1107   0.6127   0.7180
   2.000   0.7146   0.00440   0.00102  -0.1116   0.6041   0.7199
   2.500   0.7724   0.00450   0.00110  -0.1123   0.5927   0.7214
   3.000   0.8295   0.00463   0.00120  -0.1130   0.5782   0.7229
   4.000   0.9366   0.00526   0.00157  -0.1129   0.5075   0.7259
   4.500   0.9796   0.00611   0.00204  -0.1109   0.4198   0.7271
   5.000   1.0185   0.00710   0.00261  -0.1082   0.3276   0.7289
   5.500   1.0503   0.00832   0.00336  -0.1043   0.2254   0.7318
   6.000   1.0687   0.00995   0.00442  -0.0979   0.1051   0.7344
   6.500   1.0736   0.01149   0.00555  -0.0887   0.0167   0.7369
   7.000   1.1048   0.01223   0.00626  -0.0847   0.0081   0.7391
   7.500   1.1383   0.01294   0.00697  -0.0813   0.0069   0.7410
   8.000   1.1690   0.01384   0.00791  -0.0777   0.0058   0.7424
   8.500   1.2019   0.01471   0.00883  -0.0747   0.0056   0.7460
   9.000   1.2337   0.01571   0.00987  -0.0718   0.0052   0.7492
   9.500   1.2640   0.01687   0.01108  -0.0689   0.0048   0.7521
  10.000   1.2915   0.01829   0.01254  -0.0658   0.0043   0.7546
