  
       XFOIL         Version 6.99
  
 Calculated polar for: ah85l120.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2074   0.00373   0.00065  -0.0029   0.7941   0.6015
  -1.500  -0.1610   0.00339   0.00053  -0.0011   0.7882   0.6812
  -1.000  -0.1078   0.00324   0.00048  -0.0006   0.7831   0.7161
  -0.500  -0.0546   0.00317   0.00044  -0.0002   0.7729   0.7424
   0.000  -0.0003   0.00315   0.00043   0.0001   0.7601   0.7614
   0.500   0.0549   0.00316   0.00044   0.0001   0.7462   0.7727
   1.000   0.1087   0.00322   0.00048   0.0004   0.7218   0.7827
   1.500   0.1598   0.00343   0.00053   0.0013   0.6717   0.7879
   2.000   0.2038   0.00387   0.00068   0.0036   0.5719   0.7943
   2.500   0.2440   0.00457   0.00092   0.0066   0.4332   0.7989
   3.000   0.2785   0.00559   0.00126   0.0105   0.2389   0.8021
   3.500   0.3229   0.00617   0.00153   0.0125   0.1420   0.8072
   4.000   0.3675   0.00678   0.00185   0.0144   0.0610   0.8111
   4.500   0.4145   0.00729   0.00217   0.0159   0.0215   0.8145
   5.000   0.4644   0.00765   0.00249   0.0169   0.0125   0.8173
   5.500   0.5140   0.00799   0.00283   0.0179   0.0088   0.8218
   6.000   0.5630   0.00839   0.00328   0.0190   0.0079   0.8247
   6.500   0.6125   0.00875   0.00365   0.0199   0.0071   0.8274
   7.000   0.6602   0.00923   0.00415   0.0212   0.0066   0.8296
   7.500   0.7035   0.01006   0.00509   0.0233   0.0051   0.8323
   8.000   0.7510   0.01064   0.00573   0.0245   0.0050   0.8359
   8.500   0.7945   0.01154   0.00674   0.0263   0.0049   0.8389
   9.000   0.8422   0.01210   0.00735   0.0273   0.0047   0.8414
   9.500   0.8824   0.01318   0.00855   0.0296   0.0046   0.8438
  10.000   0.9296   0.01407   0.00952   0.0303   0.0043   0.8464
