  
       XFOIL         Version 6.99
  
 Calculated polar for: ah93k132.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0069   0.00630   0.00135  -0.0251   0.7316   0.0206
  -1.500   0.0508   0.00600   0.00116  -0.0258   0.7274   0.0486
  -1.000   0.1077   0.00556   0.00100  -0.0263   0.7239   0.1319
  -0.500   0.1638   0.00506   0.00087  -0.0268   0.7191   0.2606
   0.000   0.2175   0.00434   0.00075  -0.0270   0.7125   0.4854
   0.500   0.2667   0.00325   0.00064  -0.0262   0.7042   0.8116
   1.500   0.3719   0.00329   0.00101  -0.0247   0.6806   0.9535
   2.000   0.4280   0.00354   0.00120  -0.0249   0.6635   0.9602
   2.500   0.4835   0.00382   0.00141  -0.0250   0.6433   0.9652
   3.000   0.5380   0.00419   0.00168  -0.0249   0.6152   0.9703
   3.500   0.5951   0.00461   0.00200  -0.0256   0.5828   0.9745
   4.000   0.6526   0.00490   0.00214  -0.0266   0.5429   0.9771
   4.500   0.7118   0.00540   0.00244  -0.0282   0.4901   0.9789
   5.000   0.7696   0.00593   0.00278  -0.0297   0.4415   0.9807
   5.500   0.8218   0.00659   0.00322  -0.0301   0.3844   0.9834
   6.000   0.8709   0.00735   0.00371  -0.0302   0.3220   0.9860
   6.500   0.9286   0.00835   0.00441  -0.0326   0.2529   0.9874
   7.000   0.9821   0.00996   0.00559  -0.0354   0.1633   0.9895
   7.500   1.0257   0.01137   0.00674  -0.0359   0.1077   0.9933
   8.000   1.0638   0.01251   0.00770  -0.0348   0.0730   0.9956
   8.500   1.1070   0.01361   0.00867  -0.0346   0.0482   0.9967
   9.000   1.1478   0.01482   0.00977  -0.0342   0.0295   0.9979
   9.500   1.1850   0.01598   0.01086  -0.0328   0.0186   0.9988
  10.000   1.2209   0.01724   0.01209  -0.0314   0.0113   0.9997
