  
       XFOIL         Version 6.99
  
 Calculated polar for: ah95160.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4278   0.00637   0.00130  -0.1298   0.5968   0.0744
  -1.500   0.4890   0.00625   0.00124  -0.1309   0.5950   0.0874
  -1.000   0.5502   0.00611   0.00119  -0.1322   0.5928   0.1135
  -0.500   0.6116   0.00589   0.00116  -0.1335   0.5898   0.1844
   0.000   0.6733   0.00556   0.00116  -0.1352   0.5857   0.3209
   0.500   0.7350   0.00523   0.00120  -0.1369   0.5807   0.4859
   1.000   0.7970   0.00500   0.00126  -0.1385   0.5786   0.5995
   1.500   0.8581   0.00493   0.00132  -0.1398   0.5752   0.6591
   2.000   0.9187   0.00491   0.00140  -0.1410   0.5703   0.7128
   2.500   0.9792   0.00486   0.00152  -0.1422   0.5645   0.7929
   3.000   1.0393   0.00488   0.00162  -0.1433   0.5580   0.8303
   3.500   1.0983   0.00497   0.00174  -0.1442   0.5485   0.8613
   4.500   1.2143   0.00526   0.00204  -0.1456   0.5227   0.9053
   5.000   1.2706   0.00544   0.00223  -0.1460   0.5081   0.9271
   5.500   1.3245   0.00568   0.00245  -0.1459   0.4908   0.9511
   6.000   1.3727   0.00589   0.00266  -0.1445   0.4716   1.0047
   6.500   1.4260   0.00648   0.00308  -0.1447   0.4351   1.0047
   7.000   1.4677   0.00779   0.00399  -0.1431   0.3578   1.0047
   7.500   1.5042   0.00922   0.00504  -0.1405   0.2886   1.0047
   8.000   1.5351   0.01066   0.00619  -0.1371   0.2311   1.0047
   8.500   1.5538   0.01224   0.00755  -0.1317   0.1872   1.0047
   9.000   1.5709   0.01431   0.00947  -0.1271   0.1535   1.0047
   9.500   1.5912   0.01669   0.01176  -0.1239   0.1298   1.0047
  10.000   1.6123   0.01931   0.01432  -0.1213   0.1104   1.0047
