  
       XFOIL         Version 6.99
  
 Calculated polar for: ames03.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2098   0.00665   0.00168   0.0133   0.7205   0.0510
  -1.000  -0.0885   0.00594   0.00135   0.0112   0.6834   0.1823
   0.000   0.0463   0.00579   0.00132   0.0043   0.3322   0.5856
   1.000   0.1708   0.00573   0.00144   0.0011   0.2291   0.7757
   1.500   0.2316   0.00579   0.00152   0.0001   0.2141   0.8123
   2.000   0.2920   0.00584   0.00162  -0.0009   0.2015   0.8520
   2.500   0.3520   0.00591   0.00172  -0.0016   0.1948   0.8745
   3.000   0.4124   0.00606   0.00183  -0.0026   0.1836   0.8874
   3.500   0.4724   0.00618   0.00195  -0.0034   0.1768   0.9001
   4.000   0.5322   0.00633   0.00209  -0.0043   0.1668   0.9127
   4.500   0.5921   0.00652   0.00225  -0.0052   0.1550   0.9239
   5.000   0.6513   0.00670   0.00242  -0.0059   0.1465   0.9354
   5.500   0.7099   0.00692   0.00262  -0.0065   0.1344   0.9473
   6.000   0.7683   0.00723   0.00286  -0.0072   0.1167   0.9588
   7.000   0.8834   0.00801   0.00348  -0.0084   0.0781   0.9975
   7.500   0.9435   0.00862   0.00396  -0.0098   0.0582   1.0000
   8.000   1.0024   0.00931   0.00453  -0.0110   0.0403   1.0000
   8.500   1.0604   0.01006   0.00517  -0.0120   0.0252   1.0000
   9.000   1.1176   0.01078   0.00583  -0.0128   0.0171   1.0000
   9.500   1.1744   0.01145   0.00649  -0.0135   0.0133   1.0000
  10.000   1.2303   0.01215   0.00719  -0.0140   0.0109   1.0000
