  
       XFOIL         Version 6.99
  
 Calculated polar for: aquilasm.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1705   0.00679   0.00163  -0.0664   0.5496   0.0083
  -1.500   0.2253   0.00641   0.00111  -0.0659   0.5309   0.0087
  -1.000   0.2810   0.00627   0.00089  -0.0656   0.5120   0.0107
  -0.500   0.3368   0.00621   0.00078  -0.0653   0.4927   0.0147
   0.000   0.3925   0.00619   0.00072  -0.0651   0.4732   0.0210
   0.500   0.4484   0.00617   0.00070  -0.0650   0.4548   0.0314
   1.000   0.5035   0.00613   0.00072  -0.0647   0.4340   0.0847
   1.500   0.5531   0.00530   0.00081  -0.0638   0.4150   0.5340
   2.000   0.6083   0.00441   0.00098  -0.0638   0.3947   0.9809
   2.500   0.7107   0.00466   0.00107  -0.0743   0.3681   1.0000
   3.000   0.7607   0.00489   0.00119  -0.0730   0.3461   1.0000
   3.500   0.8112   0.00511   0.00132  -0.0718   0.3263   1.0000
   4.000   0.8618   0.00536   0.00148  -0.0707   0.3062   1.0000
   4.500   0.9125   0.00564   0.00167  -0.0696   0.2862   1.0000
   5.000   0.9636   0.00590   0.00187  -0.0686   0.2684   1.0000
   5.500   1.0139   0.00625   0.00212  -0.0675   0.2453   1.0000
   6.000   1.0630   0.00672   0.00243  -0.0663   0.2124   1.0000
   6.500   1.1126   0.00714   0.00275  -0.0652   0.1900   1.0000
   7.000   1.1611   0.00766   0.00314  -0.0640   0.1616   1.0000
   7.500   1.2076   0.00835   0.00366  -0.0624   0.1266   1.0000
   8.000   1.2511   0.00927   0.00435  -0.0605   0.0843   1.0000
   8.500   1.2919   0.01040   0.00523  -0.0581   0.0438   1.0000
   9.000   1.3350   0.01129   0.00600  -0.0562   0.0244   1.0000
   9.500   1.3735   0.01246   0.00706  -0.0535   0.0066   1.0000
  10.000   1.4159   0.01325   0.00787  -0.0515   0.0045   1.0000
