  
       XFOIL         Version 6.99
  
 Calculated polar for: arad20.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1143   0.00858   0.00292  -0.0329   0.3515   0.2406
  -1.500   0.1782   0.00842   0.00287  -0.0341   0.3414   0.2898
  -1.000   0.2421   0.00823   0.00284  -0.0354   0.3329   0.3525
  -0.500   0.3058   0.00815   0.00285  -0.0366   0.3216   0.4044
   0.000   0.3697   0.00805   0.00288  -0.0378   0.3140   0.4555
   0.500   0.4333   0.00806   0.00294  -0.0390   0.3022   0.5029
   1.000   0.4970   0.00801   0.00301  -0.0403   0.2952   0.5534
   1.500   0.5605   0.00808   0.00312  -0.0415   0.2841   0.5936
   2.000   0.6240   0.00812   0.00323  -0.0427   0.2771   0.6328
   2.500   0.6871   0.00825   0.00337  -0.0438   0.2667   0.6675
   3.000   0.7504   0.00832   0.00350  -0.0450   0.2606   0.7015
   3.500   0.8132   0.00849   0.00369  -0.0462   0.2504   0.7324
   4.000   0.8761   0.00861   0.00385  -0.0474   0.2450   0.7614
   4.500   0.9385   0.00882   0.00406  -0.0485   0.2362   0.7878
   5.000   1.0009   0.00897   0.00426  -0.0496   0.2301   0.8148
   5.500   1.0629   0.00918   0.00448  -0.0507   0.2235   0.8400
   6.000   1.1244   0.00942   0.00474  -0.0518   0.2156   0.8643
   6.500   1.1856   0.00960   0.00497  -0.0527   0.2115   0.8895
   7.000   1.2455   0.00991   0.00528  -0.0535   0.2031   0.9152
   7.500   1.3048   0.01010   0.00552  -0.0541   0.1993   0.9411
   8.000   1.3598   0.01030   0.00575  -0.0538   0.1928   0.9816
   8.500   1.4206   0.01063   0.00604  -0.0549   0.1859   1.0000
   9.000   1.4813   0.01097   0.00636  -0.0561   0.1818   1.0000
   9.500   1.5404   0.01145   0.00679  -0.0570   0.1744   1.0000
  10.000   1.5999   0.01182   0.00715  -0.0580   0.1701   1.0000
