  
       XFOIL         Version 6.99
  
 Calculated polar for: as5048.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0512   0.00463   0.00097  -0.0578   0.6361   0.5930
  -1.500   0.1120   0.00464   0.00097  -0.0589   0.6316   0.6021
  -1.000   0.1732   0.00461   0.00096  -0.0601   0.6283   0.6094
  -0.500   0.2339   0.00462   0.00095  -0.0613   0.6215   0.6146
   0.000   0.2944   0.00466   0.00095  -0.0623   0.6090   0.6180
   0.500   0.3546   0.00472   0.00096  -0.0634   0.5992   0.6207
   1.000   0.4145   0.00477   0.00099  -0.0644   0.5839   0.6268
   1.500   0.4740   0.00487   0.00105  -0.0653   0.5643   0.6299
   2.000   0.5313   0.00511   0.00115  -0.0658   0.5257   0.6323
   2.500   0.5861   0.00552   0.00135  -0.0658   0.4715   0.6342
   3.000   0.6402   0.00594   0.00156  -0.0657   0.4200   0.6356
   3.500   0.6921   0.00643   0.00183  -0.0652   0.3605   0.6380
   4.000   0.7444   0.00687   0.00209  -0.0647   0.3135   0.6419
   4.500   0.7963   0.00730   0.00237  -0.0642   0.2736   0.6450
   5.000   0.8476   0.00775   0.00268  -0.0636   0.2364   0.6474
   5.500   0.8970   0.00828   0.00304  -0.0626   0.1982   0.6495
   6.000   0.9478   0.00872   0.00337  -0.0619   0.1741   0.6514
   6.500   0.9989   0.00912   0.00370  -0.0613   0.1566   0.6527
   7.000   1.0495   0.00951   0.00404  -0.0605   0.1421   0.6555
   7.500   1.0994   0.00991   0.00441  -0.0597   0.1295   0.6595
   8.000   1.1472   0.01037   0.00484  -0.0585   0.1156   0.6627
   8.500   1.1917   0.01094   0.00534  -0.0567   0.0994   0.6653
   9.000   1.2301   0.01160   0.00591  -0.0537   0.0834   0.6674
   9.500   1.2653   0.01225   0.00652  -0.0500   0.0715   0.6691
  10.000   1.3022   0.01302   0.00724  -0.0470   0.0613   0.6705
