  
       XFOIL         Version 6.99
  
 Calculated polar for: avistar.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0529   0.00722   0.00159  -0.0321   0.5737   0.0294
  -1.500   0.0021   0.00723   0.00150  -0.0318   0.5377   0.0308
  -1.000   0.0580   0.00721   0.00143  -0.0317   0.5157   0.0318
  -0.500   0.1136   0.00715   0.00133  -0.0315   0.4978   0.0346
   0.000   0.1700   0.00711   0.00128  -0.0315   0.4846   0.0370
   0.500   0.2260   0.00707   0.00124  -0.0314   0.4706   0.0416
   1.000   0.2822   0.00701   0.00120  -0.0313   0.4615   0.0531
   1.500   0.3232   0.00589   0.00108  -0.0284   0.4493   0.4255
   2.000   0.3711   0.00544   0.00110  -0.0267   0.4308   0.6141
   2.500   0.4243   0.00536   0.00119  -0.0261   0.4135   0.6939
   3.000   0.4774   0.00549   0.00131  -0.0255   0.3820   0.7384
   3.500   0.5209   0.00615   0.00167  -0.0231   0.2773   0.7886
   4.000   0.5619   0.00647   0.00202  -0.0200   0.2127   0.8965
   4.500   0.6118   0.00805   0.00295  -0.0199   0.0299   0.9372
   5.500   0.8207   0.00905   0.00383  -0.0428   0.0189   0.9578
   6.000   0.9097   0.00957   0.00432  -0.0505   0.0178   0.9698
   6.500   0.9554   0.01006   0.00478  -0.0484   0.0167   0.9971
   7.000   1.0314   0.01060   0.00529  -0.0533   0.0156   0.9996
   7.500   1.0869   0.01105   0.00573  -0.0535   0.0153   1.0000
   8.000   1.1344   0.01154   0.00622  -0.0520   0.0149   1.0000
   8.500   1.1814   0.01205   0.00672  -0.0505   0.0144   1.0000
   9.000   1.2266   0.01263   0.00730  -0.0486   0.0140   1.0000
   9.500   1.2693   0.01332   0.00800  -0.0464   0.0136   1.0000
  10.000   1.3031   0.01439   0.00915  -0.0425   0.0129   1.0000
