  
       XFOIL         Version 6.99
  
 Calculated polar for: b707a.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2621   0.00802   0.00160   0.0064   0.2686   0.0477
  -1.500  -0.2057   0.00788   0.00146   0.0068   0.2609   0.0514
  -1.000  -0.1502   0.00785   0.00132   0.0074   0.2147   0.0552
  -0.500  -0.0954   0.00790   0.00130   0.0081   0.1814   0.0618
   0.000  -0.0455   0.00724   0.00109   0.0096   0.1565   0.2352
   0.500   0.0041   0.00687   0.00097   0.0110   0.1158   0.3613
   1.000   0.0598   0.00700   0.00105   0.0116   0.0960   0.3750
   1.500   0.1139   0.00733   0.00123   0.0124   0.0500   0.3856
   2.000   0.1701   0.00750   0.00135   0.0130   0.0423   0.3910
   2.500   0.2249   0.00786   0.00159   0.0137   0.0106   0.3954
   3.000   0.2807   0.00802   0.00178   0.0143   0.0096   0.4034
   3.500   0.3364   0.00824   0.00202   0.0149   0.0091   0.4080
   4.000   0.3920   0.00851   0.00229   0.0156   0.0089   0.4107
   4.500   0.4471   0.00878   0.00259   0.0163   0.0088   0.4179
   5.000   0.5019   0.00907   0.00292   0.0171   0.0088   0.4239
   5.500   0.5563   0.00944   0.00332   0.0179   0.0087   0.4284
   6.000   0.6101   0.00984   0.00378   0.0188   0.0086   0.4368
   6.500   0.6633   0.01028   0.00429   0.0198   0.0086   0.4461
   7.000   0.7158   0.01077   0.00486   0.0210   0.0086   0.4605
   7.500   0.7673   0.01131   0.00551   0.0222   0.0085   0.4805
   8.000   0.8177   0.01192   0.00625   0.0236   0.0085   0.5088
   8.500   0.8657   0.01247   0.00708   0.0254   0.0085   0.5881
   9.000   0.9094   0.01306   0.00810   0.0279   0.0084   0.7255
   9.500   0.9482   0.01363   0.00915   0.0314   0.0084   0.8742
  10.000   1.0260   0.01547   0.01139   0.0257   0.0082   0.9963
