  
       XFOIL         Version 6.99
  
 Calculated polar for: bacxxx.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0136   0.00592   0.00104  -0.0459   0.7816   0.0087
  -1.500   0.0633   0.00603   0.00092  -0.0445   0.7016   0.0217
  -1.000   0.0990   0.00488   0.00065  -0.0411   0.5868   0.4477
  -0.500   0.1470   0.00503   0.00070  -0.0397   0.4808   0.5329
   0.000   0.1992   0.00523   0.00076  -0.0391   0.4102   0.5730
   0.500   0.2528   0.00538   0.00082  -0.0387   0.3621   0.6057
   1.000   0.3082   0.00551   0.00088  -0.0387   0.3327   0.6210
   1.500   0.3630   0.00569   0.00097  -0.0386   0.2977   0.6380
   2.000   0.4175   0.00588   0.00108  -0.0385   0.2637   0.6587
   2.500   0.4726   0.00603   0.00120  -0.0384   0.2412   0.6808
   3.000   0.5270   0.00622   0.00134  -0.0383   0.2142   0.7050
   3.500   0.5813   0.00640   0.00151  -0.0381   0.1901   0.7356
   4.000   0.6348   0.00658   0.00171  -0.0377   0.1677   0.7794
   4.500   0.6884   0.00675   0.00192  -0.0374   0.1499   0.8208
   5.000   0.7399   0.00699   0.00220  -0.0367   0.1235   0.8744
   5.500   0.7899   0.00721   0.00251  -0.0355   0.1083   0.9358
   6.000   0.8435   0.00744   0.00280  -0.0351   0.1003   0.9752
   6.500   0.9041   0.00794   0.00318  -0.0365   0.0776   0.9905
   7.000   0.9663   0.00864   0.00373  -0.0384   0.0513   0.9969
   7.500   1.0249   0.00928   0.00425  -0.0395   0.0348   1.0000
   8.000   1.0700   0.00974   0.00469  -0.0375   0.0296   1.0000
   8.500   1.1176   0.01021   0.00516  -0.0360   0.0260   1.0000
   9.000   1.1648   0.01084   0.00574  -0.0346   0.0167   1.0000
   9.500   1.2095   0.01177   0.00663  -0.0328   0.0075   1.0000
  10.000   1.2564   0.01250   0.00738  -0.0315   0.0055   1.0000
