  
       XFOIL         Version 6.99
  
 Calculated polar for: be50.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3444   0.00606   0.00088  -0.1077   0.5508   0.0226
  -1.500   0.4019   0.00612   0.00078  -0.1078   0.5124   0.0233
  -1.000   0.4595   0.00614   0.00072  -0.1080   0.4839   0.0263
  -0.500   0.5158   0.00637   0.00077  -0.1081   0.3883   0.0948
   0.000   0.5726   0.00650   0.00089  -0.1084   0.3331   0.1787
   0.500   0.6303   0.00639   0.00099  -0.1088   0.3117   0.3133
   1.000   0.6878   0.00635   0.00112  -0.1092   0.2992   0.4112
   1.500   0.7451   0.00633   0.00126  -0.1095   0.2863   0.5055
   3.500   0.9637   0.00690   0.00224  -0.1087   0.1500   1.0000
   4.500   1.0666   0.00897   0.00358  -0.1074   0.0103   1.0000
   5.000   1.1209   0.00942   0.00404  -0.1071   0.0073   1.0000
   5.500   1.1745   0.00994   0.00455  -0.1068   0.0055   1.0000
   6.000   1.2278   0.01048   0.00513  -0.1063   0.0047   1.0000
   6.500   1.2806   0.01103   0.00569  -0.1059   0.0040   1.0000
   7.000   1.3317   0.01182   0.00653  -0.1051   0.0033   1.0000
   7.500   1.3821   0.01263   0.00741  -0.1042   0.0029   1.0000
   8.000   1.4328   0.01329   0.00810  -0.1035   0.0027   1.0000
   8.500   1.4821   0.01410   0.00896  -0.1026   0.0023   1.0000
   9.000   1.5296   0.01505   0.00996  -0.1014   0.0021   1.0000
   9.500   1.5706   0.01672   0.01181  -0.0991   0.0018   1.0000
  10.000   1.6029   0.01913   0.01448  -0.0955   0.0017   1.0000
