  
       XFOIL         Version 6.99
  
 Calculated polar for: bw3.dat                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3518   0.00574   0.00112  -0.1321   0.7183   0.0388
  -1.500   0.4085   0.00559   0.00100  -0.1319   0.7017   0.0560
  -1.000   0.4652   0.00560   0.00100  -0.1316   0.6825   0.0646
  -0.500   0.5218   0.00564   0.00098  -0.1313   0.6635   0.0678
   0.000   0.5781   0.00575   0.00102  -0.1309   0.6300   0.0722
   0.500   0.6333   0.00597   0.00110  -0.1304   0.5816   0.0746
   1.000   0.6877   0.00623   0.00121  -0.1297   0.5337   0.0757
   1.500   0.7391   0.00674   0.00133  -0.1285   0.4311   0.0781
   2.000   0.7892   0.00728   0.00154  -0.1270   0.3386   0.0821
   2.500   0.8365   0.00800   0.00185  -0.1249   0.2315   0.0843
   3.000   0.8762   0.00933   0.00246  -0.1212   0.0534   0.0858
   3.500   0.9283   0.00963   0.00270  -0.1201   0.0385   0.0870
   4.000   0.9807   0.00988   0.00294  -0.1191   0.0341   0.0878
   4.500   1.0341   0.01013   0.00318  -0.1182   0.0297   0.0943
   5.000   1.0863   0.01042   0.00347  -0.1172   0.0267   0.0974
   5.500   1.1380   0.01075   0.00381  -0.1161   0.0239   0.0998
   6.000   1.1896   0.01107   0.00414  -0.1150   0.0221   0.1010
   6.500   1.2406   0.01151   0.00461  -0.1137   0.0192   0.1113
   7.000   1.2920   0.01187   0.00500  -0.1126   0.0187   0.1185
   8.000   1.5641   0.01299   0.00740  -0.1522   0.0148   1.0000
   8.500   1.6122   0.01355   0.00796  -0.1503   0.0140   1.0000
   9.000   1.6591   0.01418   0.00860  -0.1483   0.0133   1.0000
   9.500   1.7025   0.01510   0.00958  -0.1455   0.0119   1.0000
  10.000   1.7481   0.01576   0.01028  -0.1433   0.0117   1.0000
