  
       XFOIL         Version 6.99
  
 Calculated polar for: cap21c.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1453   0.00742   0.00151  -0.0178   0.2025   0.1703
  -1.000  -0.0258   0.00746   0.00154  -0.0170   0.1881   0.1709
  -0.500   0.0341   0.00747   0.00156  -0.0167   0.1880   0.1711
   0.000   0.0940   0.00746   0.00153  -0.0163   0.1878   0.1712
   0.500   0.1539   0.00745   0.00152  -0.0159   0.1876   0.1714
   1.000   0.2138   0.00744   0.00151  -0.0156   0.1871   0.1715
   1.500   0.2736   0.00746   0.00152  -0.0152   0.1866   0.1716
   2.000   0.3334   0.00747   0.00154  -0.0149   0.1859   0.1717
   2.500   0.3929   0.00736   0.00155  -0.0145   0.1846   0.2056
   3.000   0.4525   0.00740   0.00160  -0.0141   0.1819   0.2115
   3.500   0.5116   0.00754   0.00166  -0.0137   0.1729   0.2136
   4.000   0.5704   0.00773   0.00176  -0.0133   0.1591   0.2146
   5.000   0.6888   0.00798   0.00203  -0.0124   0.1498   0.2157
   5.500   0.7480   0.00809   0.00216  -0.0120   0.1494   0.2160
   6.000   0.8071   0.00820   0.00230  -0.0116   0.1485   0.2163
   6.500   0.8660   0.00832   0.00245  -0.0111   0.1459   0.2429
   7.000   0.9230   0.00865   0.00272  -0.0105   0.1323   0.2638
   7.500   0.9808   0.00882   0.00299  -0.0100   0.1192   0.3382
   8.000   1.0390   0.00862   0.00327  -0.0098   0.1176   0.5581
   8.500   1.0893   0.00806   0.00366  -0.0079   0.1143   0.9393
   9.000   1.1264   0.00840   0.00399  -0.0030   0.1081   0.9863
   9.500   1.1925   0.00889   0.00439  -0.0043   0.0978   0.9977
  10.000   1.2497   0.00926   0.00475  -0.0037   0.0926   0.9995
