  
       XFOIL         Version 6.99
  
 Calculated polar for: ch10sm.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   1.0483   0.00647   0.00176  -0.2861   0.6190   0.0267
  -1.500   1.1049   0.00646   0.00175  -0.2865   0.6125   0.0329
  -1.000   1.1619   0.00646   0.00176  -0.2870   0.6068   0.0397
  -0.500   1.2171   0.00653   0.00181  -0.2872   0.5987   0.0479
   0.000   1.2741   0.00654   0.00184  -0.2878   0.5941   0.0590
   0.500   1.3291   0.00661   0.00193  -0.2881   0.5865   0.0805
   1.000   1.3849   0.00664   0.00203  -0.2885   0.5804   0.1215
   1.500   1.4399   0.00666   0.00219  -0.2889   0.5728   0.2231
   2.000   1.4946   0.00671   0.00237  -0.2892   0.5654   0.3119
   2.500   1.5478   0.00682   0.00258  -0.2892   0.5570   0.3956
   3.000   1.6011   0.00694   0.00280  -0.2892   0.5493   0.4778
   3.500   1.6524   0.00709   0.00308  -0.2889   0.5400   0.5910
