  
       XFOIL         Version 6.99
  
 Calculated polar for: clarkx.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500   0.2171   0.00627   0.00096  -0.0840   0.6340   0.0020
  -1.000   0.2729   0.00601   0.00081  -0.0839   0.6131   0.0515
  -0.500   0.3267   0.00566   0.00075  -0.0836   0.5812   0.1666
   0.000   0.3817   0.00551   0.00075  -0.0835   0.5502   0.2560
   0.500   0.4376   0.00556   0.00079  -0.0834   0.5216   0.2944
   1.000   0.4938   0.00559   0.00084  -0.0835   0.4980   0.3323
   1.500   0.5461   0.00574   0.00098  -0.0829   0.4336   0.4293
   2.000   0.5790   0.00722   0.00177  -0.0793   0.1489   0.6409
   2.500   0.6216   0.00782   0.00239  -0.0768   0.0014   0.8478
   3.000   0.6705   0.00782   0.00264  -0.0751   0.0019   0.9549
   3.500   0.7325   0.00809   0.00289  -0.0763   0.0026   0.9905
   4.000   0.8034   0.00845   0.00321  -0.0798   0.0023   0.9996
   4.500   0.8535   0.00885   0.00360  -0.0785   0.0017   1.0000
