  
       XFOIL         Version 6.99
  
 Calculated polar for: clarky.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1738   0.00626   0.00105  -0.0838   0.6220   0.0336
  -1.500   0.2306   0.00621   0.00094  -0.0837   0.6002   0.0373
  -1.000   0.2865   0.00605   0.00086  -0.0836   0.5764   0.0767
  -0.500   0.3425   0.00595   0.00081  -0.0835   0.5514   0.1176
   0.000   0.3977   0.00579   0.00080  -0.0833   0.5236   0.2016
   0.500   0.4534   0.00575   0.00084  -0.0832   0.4970   0.2662
   1.000   0.5085   0.00574   0.00091  -0.0830   0.4650   0.3439
   1.500   0.5620   0.00573   0.00102  -0.0827   0.4205   0.4666
   2.000   0.6122   0.00553   0.00123  -0.0817   0.3690   0.7097
   2.500   0.6601   0.00540   0.00146  -0.0799   0.3285   0.9080
   3.000   0.7154   0.00554   0.00164  -0.0795   0.3082   0.9786
   3.500   0.7821   0.00578   0.00180  -0.0819   0.2921   0.9931
   4.000   0.8491   0.00601   0.00196  -0.0844   0.2791   0.9983
   4.500   0.9097   0.00620   0.00211  -0.0854   0.2703   1.0000
   5.000   0.9601   0.00644   0.00229  -0.0841   0.2568   1.0000
   5.500   1.0107   0.00674   0.00251  -0.0830   0.2386   1.0000
   6.000   1.0599   0.00723   0.00283  -0.0817   0.2043   1.0000
   6.500   1.1056   0.00804   0.00336  -0.0799   0.1523   1.0000
   7.000   1.1519   0.00886   0.00393  -0.0783   0.1091   1.0000
   7.500   1.1997   0.00957   0.00448  -0.0769   0.0825   1.0000
   8.000   1.2485   0.01018   0.00499  -0.0757   0.0665   1.0000
   8.500   1.2949   0.01096   0.00563  -0.0742   0.0460   1.0000
   9.000   1.3322   0.01237   0.00685  -0.0712   0.0123   1.0000
   9.500   1.3783   0.01304   0.00751  -0.0696   0.0101   1.0000
  10.000   1.4228   0.01375   0.00823  -0.0678   0.0086   1.0000
