  
       XFOIL         Version 6.99
  
 Calculated polar for: clarym15.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1933   0.00713   0.00145  -0.0828   0.5593   0.0014
  -1.500   0.2493   0.00701   0.00133  -0.0825   0.5373   0.0228
  -1.000   0.3036   0.00668   0.00120  -0.0821   0.5161   0.0931
  -0.500   0.3561   0.00620   0.00113  -0.0816   0.4943   0.2385
   0.000   0.4118   0.00622   0.00116  -0.0814   0.4677   0.2754
   0.500   0.4657   0.00637   0.00125  -0.0809   0.4259   0.3140
   1.000   0.5178   0.00660   0.00140  -0.0802   0.3732   0.3678
   1.500   0.5701   0.00659   0.00154  -0.0795   0.3396   0.4848
   2.000   0.6233   0.00644   0.00168  -0.0791   0.3230   0.6236
   2.500   0.6736   0.00649   0.00190  -0.0780   0.2861   0.7596
   3.000   0.7220   0.00688   0.00221  -0.0766   0.2306   0.8374
   3.500   0.7459   0.00904   0.00355  -0.0708   0.0012   0.8986
   4.000   0.7959   0.00926   0.00385  -0.0694   0.0011   0.9466
   4.500   0.8470   0.00957   0.00416  -0.0683   0.0011   0.9758
   5.000   0.9070   0.00995   0.00451  -0.0694   0.0012   0.9916
   5.500   0.9763   0.01042   0.00492  -0.0726   0.0014   0.9989
   6.000   1.0244   0.01083   0.00531  -0.0711   0.0016   1.0000
   6.500   1.0689   0.01126   0.00572  -0.0690   0.0019   1.0000
   7.000   1.1152   0.01171   0.00615  -0.0672   0.0024   1.0000
   7.500   1.1585   0.01223   0.00666  -0.0650   0.0029   1.0000
   8.000   1.2009   0.01274   0.00717  -0.0626   0.0037   1.0000
   8.500   1.2419   0.01339   0.00782  -0.0601   0.0041   1.0000
   9.000   1.2805   0.01419   0.00865  -0.0574   0.0040   1.0000
   9.500   1.3145   0.01525   0.00978  -0.0541   0.0037   1.0000
  10.000   1.3466   0.01646   0.01105  -0.0509   0.0034   1.0000
