  
       XFOIL         Version 6.99
  
 Calculated polar for: cootie.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4046   0.00644   0.00120  -0.1130   0.5705   0.0060
  -1.500   0.4631   0.00639   0.00112  -0.1134   0.5587   0.0042
  -1.000   0.5212   0.00634   0.00104  -0.1137   0.5453   0.0045
  -0.500   0.5794   0.00624   0.00098  -0.1142   0.5335   0.0198
   0.000   0.6370   0.00632   0.00107  -0.1147   0.5157   0.0258
   0.500   0.6944   0.00636   0.00104  -0.1151   0.4924   0.0279
   1.000   0.7512   0.00649   0.00107  -0.1155   0.4607   0.0313
   1.500   0.8074   0.00662   0.00118  -0.1159   0.4249   0.0836
   2.000   0.8570   0.00772   0.00164  -0.1153   0.2815   0.0934
   2.500   0.8973   0.01006   0.00282  -0.1132   0.0017   0.1004
