  
       XFOIL         Version 6.99
  
 Calculated polar for: cr1.dat                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2492   0.00592   0.00103  -0.0961   0.6332   0.0864
  -1.500   0.3032   0.00591   0.00097  -0.0952   0.6114   0.0932
  -1.000   0.3573   0.00591   0.00093  -0.0944   0.5913   0.0999
  -0.500   0.4104   0.00596   0.00091  -0.0935   0.5642   0.1061
   0.000   0.4617   0.00608   0.00094  -0.0922   0.5305   0.1157
   0.500   0.5117   0.00622   0.00100  -0.0906   0.4921   0.1310
   1.000   0.5607   0.00639   0.00109  -0.0890   0.4525   0.1568
   1.500   0.6094   0.00660   0.00122  -0.0872   0.4138   0.1784
   2.000   0.6580   0.00685   0.00136  -0.0855   0.3787   0.1925
   2.500   0.7072   0.00705   0.00150  -0.0839   0.3513   0.2044
   3.000   0.7551   0.00728   0.00165  -0.0820   0.3240   0.2198
   3.500   0.8034   0.00748   0.00181  -0.0803   0.3030   0.2379
   4.000   0.8500   0.00765   0.00200  -0.0782   0.2825   0.2795
   4.500   0.8799   0.00711   0.00230  -0.0728   0.2647   0.7044
