  
       XFOIL         Version 6.99
  
 Calculated polar for: dae11.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4399   0.00621   0.00124  -0.1273   0.5977   0.0155
  -1.500   0.4993   0.00605   0.00110  -0.1278   0.5952   0.0178
  -1.000   0.5585   0.00591   0.00099  -0.1284   0.5908   0.0221
  -0.500   0.6173   0.00581   0.00091  -0.1289   0.5845   0.0341
   0.000   0.6762   0.00569   0.00087  -0.1295   0.5788   0.0651
   0.500   0.7350   0.00547   0.00085  -0.1301   0.5737   0.1427
   1.000   0.7932   0.00527   0.00088  -0.1307   0.5650   0.2621
   1.500   0.8514   0.00502   0.00096  -0.1314   0.5585   0.4205
   2.000   0.9090   0.00485   0.00107  -0.1320   0.5493   0.5742
