  
       XFOIL         Version 6.99
  
 Calculated polar for: daytonwrightt1.dat                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4559   0.00639   0.00115  -0.0930   0.4819   0.1856
  -1.500   0.5103   0.00646   0.00121  -0.0926   0.4531   0.2196
  -1.000   0.5641   0.00659   0.00130  -0.0922   0.4210   0.2544
  -0.500   0.6174   0.00678   0.00143  -0.0917   0.3871   0.2859
   0.000   0.6708   0.00700   0.00158  -0.0913   0.3557   0.3103
   0.500   0.7240   0.00723   0.00174  -0.0909   0.3280   0.3371
   1.000   0.7778   0.00738   0.00191  -0.0906   0.3079   0.3749
   1.500   0.8308   0.00758   0.00210  -0.0903   0.2864   0.4180
   2.000   0.8753   0.00687   0.00236  -0.0885   0.2715   0.8535
   2.500   0.9230   0.00690   0.00262  -0.0868   0.2577   0.9589
   3.000   0.9867   0.00722   0.00289  -0.0888   0.2446   0.9906
   3.500   1.0545   0.00758   0.00317  -0.0920   0.2323   0.9954
   4.000   1.1239   0.00785   0.00341  -0.0956   0.2264   0.9981
   4.500   1.1892   0.00824   0.00372  -0.0984   0.2141   0.9999
   5.000   1.2353   0.00846   0.00394  -0.0968   0.2097   1.0000
   5.500   1.2750   0.00880   0.00423  -0.0939   0.1993   1.0000
   6.000   1.3178   0.00906   0.00449  -0.0917   0.1931   1.0000
   6.500   1.3591   0.00944   0.00483  -0.0893   0.1828   1.0000
   7.000   1.3945   0.01004   0.00531  -0.0859   0.1612   1.0000
   8.000   1.4442   0.01253   0.00734  -0.0763   0.0850   1.0000
   8.500   1.4789   0.01347   0.00821  -0.0736   0.0702   1.0000
   9.000   1.5035   0.01497   0.00954  -0.0695   0.0447   1.0000
   9.500   1.5171   0.01718   0.01159  -0.0642   0.0170   1.0000
  10.000   1.5473   0.01853   0.01295  -0.0616   0.0134   1.0000
