  
       XFOIL         Version 6.99
  
 Calculated polar for: defcnd1.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1869   0.00726   0.00170  -0.0661   0.4497   0.1402
  -1.500   0.2439   0.00712   0.00163  -0.0660   0.4464   0.1574
  -1.000   0.2987   0.00692   0.00156  -0.0655   0.4402   0.1991
  -0.500   0.3524   0.00673   0.00152  -0.0648   0.4317   0.2577
   0.000   0.4081   0.00654   0.00149  -0.0645   0.4288   0.3076
   0.500   0.4639   0.00647   0.00151  -0.0642   0.4231   0.3451
   1.000   0.5194   0.00649   0.00156  -0.0639   0.4142   0.3716
   1.500   0.5767   0.00648   0.00161  -0.0639   0.4107   0.3929
   2.000   0.6330   0.00651   0.00167  -0.0638   0.4049   0.4124
   2.500   0.6881   0.00661   0.00177  -0.0634   0.3955   0.4316
   3.000   0.7446   0.00662   0.00185  -0.0633   0.3922   0.4548
   3.500   0.7993   0.00671   0.00197  -0.0630   0.3849   0.4759
   4.000   0.8535   0.00682   0.00210  -0.0625   0.3771   0.4970
   4.500   0.9082   0.00688   0.00221  -0.0622   0.3721   0.5206
   5.000   0.9591   0.00699   0.00238  -0.0612   0.3630   0.5599
   5.500   1.0084   0.00692   0.00254  -0.0599   0.3577   0.6531
   6.000   1.0497   0.00678   0.00275  -0.0569   0.3506   0.8000
   6.500   1.0897   0.00671   0.00303  -0.0536   0.3422   0.9373
   7.500   1.2723   0.00744   0.00371  -0.0692   0.3248   0.9814
   8.000   1.3267   0.00775   0.00401  -0.0692   0.3181   0.9903
   8.500   1.3915   0.00816   0.00437  -0.0715   0.3081   0.9954
   9.000   1.4605   0.00852   0.00471  -0.0747   0.3017   0.9982
  10.000   1.5560   0.00936   0.00550  -0.0726   0.2848   1.0000
