  
       XFOIL         Version 6.99
  
 Calculated polar for: df102.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0352   0.00541   0.00075  -0.0503   0.6271   0.2025
  -1.500   0.0908   0.00536   0.00070  -0.0500   0.5960   0.2350
  -1.000   0.1464   0.00535   0.00067  -0.0497   0.5612   0.2679
  -0.500   0.2018   0.00537   0.00067  -0.0493   0.5270   0.3014
   0.000   0.2569   0.00542   0.00068  -0.0490   0.4888   0.3364
   0.500   0.3104   0.00557   0.00075  -0.0483   0.4282   0.3818
   1.000   0.3615   0.00585   0.00088  -0.0474   0.3425   0.4487
   1.500   0.4116   0.00613   0.00108  -0.0463   0.2559   0.5388
   2.000   0.4641   0.00621   0.00123  -0.0455   0.2174   0.6277
   2.500   0.5161   0.00618   0.00138  -0.0446   0.1920   0.7365
   3.000   0.5640   0.00599   0.00155  -0.0426   0.1755   0.8927
   3.500   0.6150   0.00610   0.00174  -0.0412   0.1614   0.9503
   4.000   0.6735   0.00632   0.00193  -0.0416   0.1488   0.9751
   4.500   0.7390   0.00660   0.00214  -0.0436   0.1362   0.9855
   5.000   0.8050   0.00691   0.00237  -0.0458   0.1243   0.9910
   5.500   0.8677   0.00720   0.00261  -0.0472   0.1162   0.9956
   6.500   0.9941   0.00786   0.00317  -0.0505   0.0981   1.0000
   7.000   1.0409   0.00814   0.00344  -0.0485   0.0941   1.0000
   7.500   1.0874   0.00853   0.00379  -0.0464   0.0857   1.0000
   8.000   1.1361   0.00883   0.00410  -0.0449   0.0823   1.0000
   8.500   1.1827   0.00929   0.00451  -0.0430   0.0738   1.0000
   9.000   1.2311   0.00964   0.00487  -0.0415   0.0700   1.0000
   9.500   1.2773   0.01015   0.00533  -0.0397   0.0620   1.0000
  10.000   1.3217   0.01078   0.00590  -0.0376   0.0516   1.0000
