  
       XFOIL         Version 6.99
  
 Calculated polar for: dga1138.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1196   0.00679   0.00115  -0.0547   0.4999   0.0274
  -1.500   0.1764   0.00667   0.00094  -0.0547   0.4785   0.0322
  -0.500   0.2898   0.00674   0.00089  -0.0550   0.4210   0.0376
   0.000   0.3432   0.00724   0.00098  -0.0548   0.2905   0.0453
   0.500   0.3963   0.00768   0.00114  -0.0545   0.1667   0.1082
   1.000   0.4523   0.00766   0.00123  -0.0547   0.1549   0.1663
   1.500   0.5085   0.00766   0.00135  -0.0549   0.1450   0.2263
   2.000   0.5643   0.00761   0.00150  -0.0551   0.1333   0.3290
   2.500   0.6227   0.00657   0.00184  -0.0564   0.0811   0.9973
   3.000   0.6945   0.00689   0.00209  -0.0604   0.0672   1.0000
   3.500   0.7428   0.00764   0.00258  -0.0589   0.0109   1.0000
   4.000   0.7941   0.00795   0.00290  -0.0581   0.0090   1.0000
   4.500   0.8448   0.00841   0.00338  -0.0570   0.0063   1.0000
   5.000   0.8962   0.00879   0.00375  -0.0563   0.0054   1.0000
   5.500   0.9465   0.00935   0.00432  -0.0553   0.0044   1.0000
   6.000   0.9972   0.00993   0.00495  -0.0545   0.0039   1.0000
   6.500   1.0483   0.01048   0.00552  -0.0538   0.0033   1.0000
   7.000   1.0988   0.01113   0.00619  -0.0530   0.0029   1.0000
   7.500   1.1450   0.01240   0.00762  -0.0515   0.0026   1.0000
   8.000   1.1907   0.01368   0.00906  -0.0499   0.0024   1.0000
   8.500   1.2385   0.01457   0.01002  -0.0489   0.0023   1.0000
   9.000   1.2847   0.01561   0.01116  -0.0476   0.0021   1.0000
   9.500   1.3297   0.01671   0.01236  -0.0462   0.0019   1.0000
  10.000   1.3719   0.01802   0.01380  -0.0444   0.0017   1.0000
