  
       XFOIL         Version 6.99
  
 Calculated polar for: drgnfly.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3694   0.00743   0.00186  -0.1011   0.5237   0.0247
  -1.500   0.4253   0.00728   0.00175  -0.1013   0.5226   0.0265
  -1.000   0.4813   0.00717   0.00165  -0.1015   0.5212   0.0287
  -0.500   0.5372   0.00708   0.00158  -0.1018   0.5193   0.0322
   0.000   0.5904   0.00686   0.00151  -0.1016   0.5168   0.0829
   0.500   0.6382   0.00639   0.00149  -0.1004   0.5140   0.2547
   1.000   0.6829   0.00590   0.00152  -0.0987   0.5104   0.4675
   1.500   0.7322   0.00572   0.00159  -0.0977   0.5073   0.5770
   2.000   0.7818   0.00548   0.00165  -0.0969   0.5066   0.6888
   2.500   0.8181   0.00505   0.00174  -0.0929   0.5054   0.8706
   3.000   0.9323   0.00511   0.00200  -0.1063   0.5036   0.9703
   3.500   1.0042   0.00527   0.00214  -0.1104   0.5013   0.9751
   4.000   1.0721   0.00543   0.00228  -0.1136   0.4987   0.9786
   4.500   1.1367   0.00562   0.00244  -0.1161   0.4952   0.9824
   5.000   1.1880   0.00587   0.00267  -0.1158   0.4907   0.9877
   5.500   1.2514   0.00598   0.00281  -0.1181   0.4897   0.9895
   6.000   1.3204   0.00608   0.00293  -0.1217   0.4884   0.9905
   6.500   1.3880   0.00619   0.00306  -0.1251   0.4866   0.9917
   7.000   1.4539   0.00632   0.00321  -0.1282   0.4839   0.9932
   7.500   1.5193   0.00649   0.00340  -0.1312   0.4805   0.9950
   8.000   1.5849   0.00674   0.00364  -0.1344   0.4753   0.9972
   8.500   1.6535   0.00688   0.00383  -0.1381   0.4722   0.9989
   9.000   1.7163   0.00714   0.00406  -0.1408   0.4597   1.0000
   9.500   1.7299   0.00793   0.00469  -0.1333   0.4237   1.0000
  10.000   1.6940   0.00903   0.00564  -0.1159   0.3873   1.0000
