  
       XFOIL         Version 6.99
  
 Calculated polar for: du84132v.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2587   0.00705   0.00134  -0.1089   0.4998   0.0175
  -1.500   0.3142   0.00697   0.00129  -0.1088   0.4814   0.0408
  -1.000   0.3672   0.00714   0.00131  -0.1082   0.4293   0.0486
  -0.500   0.4182   0.00744   0.00139  -0.1072   0.3676   0.0522
   0.000   0.4709   0.00740   0.00142  -0.1067   0.3276   0.1310
   0.500   0.5229   0.00738   0.00149  -0.1061   0.2862   0.2337
   1.000   0.5751   0.00722   0.00159  -0.1057   0.2564   0.3852
   1.500   0.6302   0.00709   0.00167  -0.1056   0.2469   0.4829
   2.000   0.6834   0.00683   0.00180  -0.1053   0.2333   0.6633
   2.500   0.7336   0.00725   0.00206  -0.1042   0.1888   0.6938
   3.000   0.7810   0.00786   0.00245  -0.1025   0.1360   0.7117
   3.500   0.8267   0.00856   0.00291  -0.1005   0.0781   0.7244
   4.000   0.8777   0.00894   0.00320  -0.0995   0.0644   0.7298
   4.500   0.9247   0.00950   0.00361  -0.0978   0.0358   0.7370
   5.000   0.9753   0.00982   0.00392  -0.0967   0.0330   0.7427
   5.500   1.0179   0.01059   0.00454  -0.0941   0.0006   0.7468
   6.000   1.0659   0.01098   0.00490  -0.0926   0.0003   0.7487
   6.500   1.1122   0.01138   0.00529  -0.0908   0.0003   0.7521
   7.000   1.1549   0.01180   0.00571  -0.0883   0.0003   0.7566
   7.500   1.1927   0.01224   0.00617  -0.0847   0.0003   0.7600
   8.000   1.2314   0.01275   0.00669  -0.0815   0.0003   0.7624
   8.500   1.2677   0.01332   0.00727  -0.0779   0.0003   0.7644
   9.000   1.3043   0.01393   0.00790  -0.0745   0.0003   0.7663
   9.500   1.3379   0.01462   0.00862  -0.0707   0.0003   0.7697
  10.000   1.3704   0.01539   0.00944  -0.0669   0.0003   0.7735
