  
       XFOIL         Version 6.99
  
 Calculated polar for: e1233.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3351   0.00692   0.00166  -0.1072   0.4077   0.2690
  -1.500   0.3898   0.00655   0.00158  -0.1072   0.3951   0.3932
  -1.000   0.4455   0.00621   0.00154  -0.1074   0.3872   0.5150
  -0.500   0.5008   0.00618   0.00158  -0.1073   0.3765   0.5680
   0.000   0.5559   0.00619   0.00164  -0.1070   0.3705   0.5997
   0.500   0.6091   0.00630   0.00172  -0.1063   0.3590   0.6217
   1.000   0.6630   0.00635   0.00180  -0.1058   0.3546   0.6412
   1.500   0.7160   0.00648   0.00191  -0.1051   0.3470   0.6588
   2.000   0.7692   0.00663   0.00203  -0.1044   0.3396   0.6702
   2.500   0.8225   0.00675   0.00216  -0.1039   0.3342   0.6822
   3.000   0.8744   0.00696   0.00231  -0.1031   0.3260   0.6876
   3.500   0.9275   0.00712   0.00245  -0.1025   0.3212   0.6903
   4.000   0.9790   0.00727   0.00261  -0.1016   0.3158   0.6979
   4.500   1.0281   0.00751   0.00281  -0.1003   0.3077   0.7030
   5.000   1.0791   0.00768   0.00299  -0.0994   0.3040   0.7071
   5.500   1.1296   0.00788   0.00318  -0.0985   0.2992   0.7096
   6.000   1.1781   0.00815   0.00341  -0.0972   0.2916   0.7153
   6.500   1.2281   0.00835   0.00364  -0.0962   0.2873   0.7207
   7.000   1.2779   0.00855   0.00386  -0.0952   0.2837   0.7247
   7.500   1.3248   0.00885   0.00414  -0.0938   0.2776   0.7280
   8.000   1.3690   0.00917   0.00445  -0.0918   0.2711   0.7306
   8.500   1.4160   0.00939   0.00472  -0.0904   0.2688   0.7371
   9.000   1.4606   0.00970   0.00506  -0.0886   0.2635   0.7421
   9.500   1.5022   0.01014   0.00547  -0.0864   0.2545   0.7465
  10.000   1.5460   0.01046   0.00582  -0.0846   0.2505   0.7492
