  
       XFOIL         Version 6.99
  
 Calculated polar for: e327.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0782   0.00767   0.00167   0.0018   0.4251   0.0039
  -1.500  -0.0248   0.00749   0.00142   0.0025   0.4104   0.0065
  -1.000   0.0274   0.00718   0.00126   0.0033   0.3994   0.0570
   0.000   0.1095   0.00500   0.00080   0.0085   0.3793   0.6524
   0.500   0.1597   0.00461   0.00083   0.0098   0.3688   0.8082
   1.000   0.2169   0.00475   0.00095   0.0097   0.3602   0.8267
   1.500   0.2741   0.00485   0.00102   0.0095   0.3494   0.8368
   2.000   0.3323   0.00494   0.00107   0.0090   0.3420   0.8388
   2.500   0.3900   0.00507   0.00113   0.0086   0.3304   0.8403
   3.000   0.4481   0.00516   0.00120   0.0081   0.3245   0.8415
   3.500   0.5053   0.00533   0.00129   0.0077   0.3123   0.8425
   4.000   0.5632   0.00543   0.00138   0.0072   0.3064   0.8433
   4.500   0.6197   0.00559   0.00149   0.0069   0.2935   0.8462
   5.000   0.6769   0.00571   0.00160   0.0065   0.2863   0.8487
   5.500   0.7327   0.00592   0.00177   0.0063   0.2720   0.8508
   6.000   0.7889   0.00610   0.00193   0.0061   0.2625   0.8527
   6.500   0.8443   0.00633   0.00213   0.0059   0.2488   0.8546
   7.000   0.8986   0.00662   0.00237   0.0059   0.2326   0.8564
   7.500   0.9521   0.00696   0.00265   0.0061   0.2143   0.8581
   8.000   1.0044   0.00736   0.00298   0.0064   0.1945   0.8596
   8.500   1.0535   0.00791   0.00341   0.0072   0.1671   0.8629
   9.000   1.0999   0.00858   0.00396   0.0084   0.1366   0.8668
   9.500   1.1451   0.00928   0.00455   0.0099   0.1115   0.8702
  10.000   1.1886   0.01002   0.00519   0.0115   0.0898   0.8733
