  
       XFOIL         Version 6.99
  
 Calculated polar for: e68.dat                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2687   0.00489   0.00072  -0.1174   0.6955   0.2802
  -1.500   0.3247   0.00476   0.00069  -0.1175   0.6792   0.3321
  -1.000   0.3804   0.00469   0.00068  -0.1176   0.6603   0.3826
  -0.500   0.4361   0.00464   0.00069  -0.1176   0.6414   0.4308
   0.000   0.4914   0.00464   0.00072  -0.1175   0.6207   0.4741
   0.500   0.5465   0.00468   0.00078  -0.1174   0.5980   0.5155
   1.000   0.6016   0.00472   0.00085  -0.1173   0.5761   0.5556
   1.500   0.6561   0.00481   0.00095  -0.1171   0.5518   0.5949
   2.000   0.7095   0.00494   0.00107  -0.1166   0.5233   0.6343
   2.500   0.7623   0.00510   0.00122  -0.1161   0.4935   0.6745
   3.000   0.8144   0.00530   0.00140  -0.1154   0.4609   0.7130
   3.500   0.8646   0.00560   0.00162  -0.1143   0.4222   0.7484
   4.000   0.9137   0.00593   0.00187  -0.1130   0.3820   0.7820
   4.500   0.9603   0.00636   0.00218  -0.1112   0.3338   0.8122
   5.000   0.9995   0.00710   0.00265  -0.1081   0.2587   0.8436
   5.500   1.0417   0.00762   0.00306  -0.1054   0.2138   0.8770
   6.000   1.0785   0.00825   0.00354  -0.1017   0.1640   0.9147
   6.500   1.1126   0.00877   0.00401  -0.0974   0.1253   1.0000
   7.000   1.1443   0.00951   0.00455  -0.0928   0.0899   1.0000
   7.500   1.1767   0.01023   0.00513  -0.0884   0.0635   1.0000
   8.000   1.2079   0.01107   0.00583  -0.0839   0.0384   1.0000
   8.500   1.2376   0.01194   0.00660  -0.0793   0.0209   1.0000
   9.000   1.2665   0.01290   0.00750  -0.0747   0.0090   1.0000
   9.500   1.3005   0.01366   0.00827  -0.0712   0.0074   1.0000
  10.000   1.3330   0.01449   0.00912  -0.0675   0.0066   1.0000
