  
       XFOIL         Version 6.99
  
 Calculated polar for: ea61012.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2101   0.00686   0.00143  -0.0026   0.6649   0.0016
  -1.500  -0.1554   0.00647   0.00118  -0.0022   0.6430   0.0527
  -1.000  -0.1079   0.00518   0.00078  -0.0009   0.6194   0.3176
  -0.500  -0.0525   0.00492   0.00068  -0.0006   0.5915   0.3934
   0.000   0.0001   0.00449   0.00056  -0.0000   0.5391   0.5367
   0.500   0.0524   0.00491   0.00068   0.0007   0.3936   0.5942
   1.000   0.1080   0.00519   0.00078   0.0009   0.3183   0.6187
   1.500   0.1610   0.00576   0.00098   0.0014   0.1887   0.6432
   2.000   0.2125   0.00655   0.00130   0.0022   0.0530   0.6639
   2.500   0.2676   0.00695   0.00153   0.0025   0.0161   0.6754
   3.000   0.3237   0.00721   0.00177   0.0028   0.0011   0.6881
   3.500   0.3803   0.00744   0.00197   0.0029   0.0011   0.6966
   4.000   0.4364   0.00766   0.00221   0.0031   0.0012   0.7093
   4.500   0.4925   0.00792   0.00246   0.0033   0.0015   0.7178
   5.000   0.5482   0.00820   0.00275   0.0036   0.0017   0.7291
   5.500   0.6036   0.00852   0.00308   0.0039   0.0020   0.7368
   6.000   0.6585   0.00884   0.00342   0.0044   0.0025   0.7469
   6.500   0.7130   0.00924   0.00383   0.0049   0.0027   0.7520
   7.000   0.7661   0.00973   0.00437   0.0056   0.0026   0.7588
   7.500   0.8181   0.01031   0.00501   0.0065   0.0025   0.7651
   8.000   0.8688   0.01103   0.00580   0.0076   0.0023   0.7697
   8.500   0.9134   0.01233   0.00726   0.0095   0.0018   0.7759
   9.000   0.9627   0.01303   0.00803   0.0107   0.0013   0.7827
   9.500   1.0082   0.01411   0.00920   0.0124   0.0011   0.7878
