  
       XFOIL         Version 6.99
  
 Calculated polar for: eh2012.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1273   0.00656   0.00107  -0.0006   0.4672   0.1189
  -1.500  -0.0715   0.00638   0.00096  -0.0004   0.4505   0.1586
   0.000   0.0892   0.00514   0.00068   0.0010   0.4049   0.5304
   0.500   0.1421   0.00475   0.00065   0.0016   0.3902   0.6703
   1.000   0.1976   0.00465   0.00067   0.0018   0.3759   0.7364
   1.500   0.2541   0.00465   0.00072   0.0019   0.3619   0.7757
   2.000   0.3103   0.00466   0.00079   0.0020   0.3478   0.8135
   2.500   0.3660   0.00470   0.00089   0.0023   0.3338   0.8546
   3.000   0.4224   0.00478   0.00099   0.0024   0.3215   0.8803
   3.500   0.4792   0.00490   0.00110   0.0023   0.3078   0.8926
   4.000   0.5359   0.00505   0.00123   0.0023   0.2938   0.9038
   4.500   0.5923   0.00521   0.00137   0.0022   0.2793   0.9149
   5.500   0.7037   0.00559   0.00172   0.0025   0.2510   0.9385
   6.000   0.7580   0.00584   0.00194   0.0028   0.2339   0.9505
   6.500   0.8114   0.00615   0.00220   0.0033   0.2114   0.9623
   7.000   0.8632   0.00663   0.00254   0.0040   0.1792   0.9738
   7.500   0.9162   0.00719   0.00297   0.0043   0.1457   0.9839
   8.000   0.9764   0.00797   0.00354   0.0027   0.1062   0.9887
   8.500   1.0323   0.00907   0.00437   0.0018   0.0586   0.9934
   9.000   1.0904   0.01043   0.00548   0.0001   0.0179   0.9963
   9.500   1.1507   0.01128   0.00628  -0.0016   0.0095   0.9988
  10.000   1.2050   0.01203   0.00703  -0.0020   0.0071   1.0000
