  
       XFOIL         Version 6.99
  
 Calculated polar for: fx60100sm.dat                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2884   0.00472   0.00053  -0.1192   0.6941   0.2171
  -1.500   0.3463   0.00448   0.00047  -0.1196   0.6639   0.3208
  -1.000   0.4038   0.00449   0.00048  -0.1197   0.6334   0.3648
  -0.500   0.4608   0.00459   0.00051  -0.1198   0.5957   0.3928
   0.000   0.5177   0.00474   0.00056  -0.1198   0.5577   0.4134
   0.500   0.5741   0.00495   0.00065  -0.1197   0.5118   0.4343
   1.000   0.6299   0.00523   0.00077  -0.1196   0.4584   0.4553
   1.500   0.6857   0.00553   0.00092  -0.1194   0.4080   0.4745
   2.000   0.7417   0.00578   0.00107  -0.1194   0.3701   0.4935
   2.500   0.7970   0.00612   0.00127  -0.1192   0.3226   0.5148
   3.500   0.9063   0.00694   0.00180  -0.1186   0.2262   0.5602
   4.000   0.9604   0.00741   0.00212  -0.1182   0.1802   0.5852
   4.500   1.0137   0.00796   0.00252  -0.1178   0.1336   0.6130
   5.000   1.0676   0.00840   0.00289  -0.1174   0.1046   0.6447
   5.500   1.1216   0.00881   0.00329  -0.1170   0.0852   0.6824
   6.000   1.1757   0.00917   0.00369  -0.1166   0.0719   0.7337
   6.500   1.2288   0.00955   0.00418  -0.1161   0.0561   0.8270
   7.000   1.2781   0.00971   0.00460  -0.1147   0.0490   1.0000
   7.500   1.3310   0.01019   0.00506  -0.1141   0.0420   1.0000
   8.000   1.3825   0.01080   0.00561  -0.1133   0.0331   1.0000
   8.500   1.4320   0.01160   0.00633  -0.1122   0.0221   1.0000
   9.000   1.4797   0.01255   0.00722  -0.1108   0.0122   1.0000
   9.500   1.5266   0.01352   0.00816  -0.1093   0.0068   1.0000
  10.000   1.5725   0.01451   0.00917  -0.1077   0.0041   1.0000
