  
       XFOIL         Version 6.99
  
 Calculated polar for: fx63100.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4610   0.00565   0.00083  -0.1577   0.6644   0.0047
  -1.500   0.5193   0.00560   0.00073  -0.1579   0.6478   0.0063
  -1.000   0.5768   0.00564   0.00070  -0.1580   0.6224   0.0037
  -0.500   0.6339   0.00569   0.00070  -0.1580   0.5901   0.0260
   0.000   0.6974   0.00492   0.00073  -0.1603   0.5657   0.3914
   0.500   0.7539   0.00504   0.00085  -0.1604   0.5192   0.4666
   1.000   0.8088   0.00535   0.00105  -0.1602   0.4579   0.5379
   1.500   0.8640   0.00564   0.00123  -0.1599   0.4150   0.5691
   2.000   0.9184   0.00602   0.00144  -0.1596   0.3686   0.5886
   2.500   0.9593   0.00792   0.00229  -0.1571   0.1370   0.6032
   3.000   1.0049   0.00939   0.00318  -0.1551   0.0006   0.6128
   3.500   1.0596   0.00970   0.00349  -0.1548   0.0009   0.6248
   4.000   1.1140   0.01003   0.00381  -0.1544   0.0011   0.6384
   4.500   1.1676   0.01044   0.00426  -0.1538   0.0007   0.6516
   5.000   1.2197   0.01101   0.00492  -0.1530   0.0004   0.6686
   5.500   1.2708   0.01167   0.00568  -0.1520   0.0003   0.6948
