  
       XFOIL         Version 6.99
  
 Calculated polar for: fx66s161.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2495   0.00560   0.00094  -0.0965   0.4828   0.3637
  -1.500   0.3070   0.00548   0.00092  -0.0969   0.4757   0.4179
  -1.000   0.3659   0.00544   0.00092  -0.0975   0.4739   0.4433
  -0.500   0.4248   0.00543   0.00094  -0.0980   0.4718   0.4600
   0.000   0.4835   0.00543   0.00096  -0.0986   0.4685   0.4736
   0.500   0.5420   0.00549   0.00100  -0.0991   0.4645   0.4802
   1.000   0.6001   0.00555   0.00105  -0.0996   0.4593   0.4892
   1.500   0.6585   0.00561   0.00111  -0.1001   0.4561   0.4943
   2.000   0.7173   0.00565   0.00116  -0.1008   0.4543   0.4977
   2.500   0.7755   0.00568   0.00122  -0.1013   0.4507   0.5057
   3.000   0.8333   0.00576   0.00131  -0.1018   0.4457   0.5114
   4.000   0.9485   0.00592   0.00152  -0.1027   0.4370   0.5254
   4.500   1.0061   0.00599   0.00162  -0.1032   0.4296   0.5326
   5.000   1.0624   0.00613   0.00177  -0.1035   0.4192   0.5459
   5.500   1.1177   0.00632   0.00194  -0.1036   0.4019   0.5582
   6.000   1.1713   0.00659   0.00219  -0.1034   0.3792   0.5759
   6.500   1.2142   0.00749   0.00280  -0.1014   0.3112   0.6007
   7.000   1.2350   0.00954   0.00418  -0.0958   0.1775   0.6291
   7.500   1.2570   0.01116   0.00542  -0.0902   0.0921   0.6618
   8.500   1.2811   0.01342   0.00766  -0.0752   0.0106   0.8241
   9.000   1.3023   0.01403   0.00861  -0.0696   0.0055   1.0000
   9.500   1.3233   0.01503   0.00963  -0.0646   0.0042   1.0000
  10.000   1.3427   0.01628   0.01092  -0.0599   0.0037   1.0000
