  
       XFOIL         Version 6.99
  
 Calculated polar for: fx69h098.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500  -0.0190   0.00679   0.00099  -0.0183   0.5085   0.0089
  -1.000   0.0362   0.00689   0.00092  -0.0181   0.4411   0.0146
  -0.500   0.0885   0.00636   0.00079  -0.0176   0.3958   0.1876
   0.000   0.1389   0.00564   0.00072  -0.0168   0.3615   0.4561
   0.500   0.1911   0.00519   0.00072  -0.0161   0.3388   0.6381
   1.000   0.2366   0.00450   0.00076  -0.0137   0.3216   0.8983
   1.500   0.2910   0.00455   0.00090  -0.0131   0.3045   0.9615
   2.500   0.4100   0.00489   0.00110  -0.0144   0.2758   0.9808
   3.000   0.4696   0.00515   0.00124  -0.0153   0.2490   0.9865
   3.500   0.5300   0.00564   0.00146  -0.0164   0.1945   0.9904
   4.000   0.5937   0.00642   0.00183  -0.0187   0.1134   0.9918
   4.500   0.6572   0.00769   0.00260  -0.0209   0.0007   0.9938
   5.000   0.7284   0.00804   0.00291  -0.0245   0.0007   0.9962
   5.500   0.7913   0.00838   0.00323  -0.0262   0.0007   0.9976
   6.000   0.8544   0.00876   0.00361  -0.0279   0.0008   0.9989
   6.500   0.9178   0.00920   0.00404  -0.0297   0.0009   0.9998
   7.000   0.9689   0.00964   0.00450  -0.0289   0.0010   1.0000
   7.500   1.0161   0.01013   0.00502  -0.0271   0.0012   1.0000
   8.000   1.0617   0.01076   0.00571  -0.0251   0.0013   1.0000
   8.500   1.1071   0.01136   0.00636  -0.0230   0.0016   1.0000
