  
       XFOIL         Version 6.99
  
 Calculated polar for: fx71089a.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2121   0.00678   0.00121  -0.0039   0.5493   0.0404
  -1.500  -0.1590   0.00697   0.00109  -0.0029   0.4296   0.0424
  -1.000  -0.1058   0.00722   0.00102  -0.0020   0.3080   0.0456
  -0.500  -0.0529   0.00734   0.00096  -0.0010   0.2076   0.0748
   0.500   0.0529   0.00732   0.00096   0.0010   0.0760   0.2087
   1.000   0.1059   0.00724   0.00102   0.0020   0.0450   0.3035
   1.500   0.1585   0.00692   0.00109   0.0030   0.0423   0.4471
   2.000   0.2119   0.00675   0.00120   0.0040   0.0406   0.5562
   2.500   0.2651   0.00659   0.00133   0.0050   0.0397   0.6674
   3.000   0.3178   0.00650   0.00151   0.0062   0.0386   0.7680
   3.500   0.3682   0.00644   0.00175   0.0081   0.0373   0.8722
   4.000   0.4198   0.00651   0.00206   0.0098   0.0365   0.9575
   4.500   0.4897   0.00678   0.00233   0.0073   0.0361   0.9790
   5.500   0.6195   0.00742   0.00292   0.0045   0.0348   0.9920
   6.000   0.6861   0.00777   0.00325   0.0026   0.0342   0.9946
   6.500   0.7515   0.00821   0.00367   0.0010   0.0335   0.9970
   7.000   0.8154   0.00881   0.00430  -0.0004   0.0327   0.9989
   7.500   0.8788   0.00910   0.00459  -0.0016   0.0324   0.9999
   8.000   0.9296   0.00944   0.00493  -0.0000   0.0320   1.0000
   8.500   0.9778   0.00980   0.00530   0.0021   0.0315   1.0000
   9.000   1.0263   0.01019   0.00569   0.0041   0.0310   1.0000
   9.500   1.0749   0.01060   0.00612   0.0061   0.0306   1.0000
  10.000   1.1230   0.01105   0.00658   0.0081   0.0301   1.0000
