  
       XFOIL         Version 6.99
  
 Calculated polar for: fx74130wp1.dat                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3297   0.00567   0.00102  -0.1255   0.7446   0.0485
  -1.500   0.3871   0.00511   0.00089  -0.1266   0.7421   0.2004
  -1.000   0.4454   0.00430   0.00077  -0.1283   0.7393   0.4653
  -0.500   0.5055   0.00353   0.00071  -0.1302   0.7350   0.7482
   0.000   0.5645   0.00359   0.00079  -0.1311   0.7304   0.7771
   0.500   0.6231   0.00362   0.00083  -0.1320   0.7237   0.7863
   1.000   0.6814   0.00372   0.00090  -0.1329   0.7151   0.7916
   1.500   0.7387   0.00378   0.00095  -0.1335   0.7041   0.7976
   2.000   0.7955   0.00391   0.00106  -0.1341   0.6894   0.8026
   2.500   0.8515   0.00407   0.00117  -0.1345   0.6703   0.8048
   3.000   0.9046   0.00436   0.00133  -0.1344   0.6378   0.8058
   3.500   0.9527   0.00488   0.00160  -0.1332   0.5736   0.8064
   4.000   0.9806   0.00628   0.00232  -0.1283   0.4189   0.8086
   5.000   1.0422   0.00847   0.00364  -0.1197   0.2144   0.8116
   5.500   1.0657   0.00945   0.00430  -0.1139   0.1413   0.8129
   6.000   1.0868   0.01043   0.00504  -0.1076   0.0865   0.8143
   6.500   1.1116   0.01142   0.00585  -0.1025   0.0490   0.8157
   7.000   1.1408   0.01237   0.00672  -0.0984   0.0282   0.8171
   7.500   1.1740   0.01327   0.00758  -0.0953   0.0196   0.8181
   8.000   1.2079   0.01422   0.00851  -0.0924   0.0147   0.8190
   8.500   1.2448   0.01507   0.00939  -0.0902   0.0137   0.8197
   9.000   1.2785   0.01613   0.01045  -0.0875   0.0110   0.8203
   9.500   1.3139   0.01714   0.01150  -0.0852   0.0097   0.8218
  10.000   1.3472   0.01830   0.01267  -0.0828   0.0079   0.8236
