  
       XFOIL         Version 6.99
  
 Calculated polar for: fx74cl6140.dat                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.5879   0.00756   0.00207  -0.1522   0.4298   0.0106
  -1.500   0.6475   0.00736   0.00186  -0.1527   0.4288   0.0111
  -1.000   0.7071   0.00720   0.00168  -0.1532   0.4275   0.0115
  -0.500   0.7665   0.00710   0.00157  -0.1537   0.4256   0.0123
   0.000   0.8257   0.00701   0.00147  -0.1542   0.4232   0.0147
   0.500   0.8847   0.00691   0.00145  -0.1547   0.4200   0.0502
   1.000   0.9436   0.00679   0.00151  -0.1554   0.4159   0.1490
   1.500   1.0044   0.00619   0.00164  -0.1569   0.4138   0.5227
   2.000   1.0632   0.00604   0.00178  -0.1575   0.4125   0.6742
   2.500   1.1215   0.00611   0.00188  -0.1579   0.4103   0.6959
   3.000   1.1793   0.00622   0.00199  -0.1582   0.4074   0.7112
   3.500   1.2367   0.00637   0.00212  -0.1585   0.4035   0.7212
   4.000   1.2939   0.00653   0.00226  -0.1589   0.3994   0.7231
   4.500   1.3517   0.00660   0.00236  -0.1593   0.3980   0.7276
   5.000   1.4092   0.00670   0.00249  -0.1598   0.3954   0.7316
   5.500   1.4661   0.00685   0.00264  -0.1601   0.3919   0.7352
   6.000   1.5222   0.00705   0.00282  -0.1604   0.3866   0.7382
   6.500   1.5789   0.00718   0.00300  -0.1608   0.3838   0.7423
   7.000   1.6353   0.00731   0.00318  -0.1612   0.3802   0.7480
   7.500   1.6905   0.00754   0.00341  -0.1614   0.3736   0.7534
   8.000   1.7457   0.00775   0.00364  -0.1616   0.3655   0.7596
   8.500   1.7990   0.00809   0.00396  -0.1615   0.3516   0.7681
   9.000   1.8495   0.00863   0.00443  -0.1611   0.3304   0.7793
   9.500   1.8990   0.00920   0.00496  -0.1605   0.3091   0.7976
  10.000   1.9450   0.00991   0.00568  -0.1594   0.2840   0.8644
