  
       XFOIL         Version 6.99
  
 Calculated polar for: fx77w343.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2570   0.01300   0.00640  -0.0504   0.3741   0.0402
  -1.500   0.3278   0.01279   0.00624  -0.0541   0.3730   0.0445
  -1.000   0.3987   0.01258   0.00611  -0.0578   0.3715   0.0637
  -0.500   0.4690   0.01247   0.00603  -0.0613   0.3700   0.0670
   0.500   0.6099   0.01223   0.00590  -0.0687   0.3655   0.1009
   1.000   0.6808   0.01209   0.00585  -0.0725   0.3633   0.1373
   2.000   0.8243   0.01165   0.00577  -0.0810   0.3590   0.2616
   2.500   0.8995   0.01107   0.00560  -0.0863   0.3586   0.3899
   3.000   0.9726   0.01068   0.00553  -0.0910   0.3582   0.4872
   3.500   1.0425   0.01061   0.00552  -0.0946   0.3530   0.5177
   4.000   1.1083   0.01108   0.00591  -0.0979   0.3252   0.5622
   4.500   1.1730   0.01159   0.00634  -0.1007   0.3137   0.5706
   5.000   1.2397   0.01183   0.00660  -0.1038   0.3086   0.5839
   6.000   1.3677   0.01275   0.00750  -0.1093   0.2903   0.6049
   6.500   1.4197   0.01424   0.00876  -0.1106   0.2572   0.6097
   7.000   1.4754   0.01517   0.00965  -0.1122   0.2437   0.6166
   7.500   1.4988   0.01801   0.01225  -0.1096   0.2014   0.6203
   8.000   1.4946   0.02102   0.01528  -0.1025   0.1882   0.6228
   8.500   1.4632   0.02877   0.02316  -0.0990   0.1757   0.6240
   9.000   1.3848   0.04202   0.03663  -0.0951   0.1668   0.6244
   9.500   1.2983   0.05617   0.05107  -0.0910   0.1674   0.6247
  10.000   1.2161   0.07036   0.06548  -0.0878   0.1648   0.6249
