  
       XFOIL         Version 6.99
  
 Calculated polar for: fx78k161.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0221   0.00648   0.00137  -0.0343   0.6324   0.0975
  -1.500   0.0745   0.00619   0.00125  -0.0339   0.6293   0.1465
  -1.000   0.1227   0.00575   0.00113  -0.0327   0.6241   0.2485
  -0.500   0.1690   0.00531   0.00102  -0.0311   0.6178   0.3686
   0.000   0.2089   0.00457   0.00087  -0.0282   0.6134   0.5613
   1.000   0.2968   0.00382   0.00081  -0.0236   0.6006   0.8033
   1.500   0.3547   0.00388   0.00086  -0.0242   0.5952   0.8126
   2.000   0.4115   0.00398   0.00095  -0.0246   0.5875   0.8192
   2.500   0.4694   0.00406   0.00103  -0.0253   0.5825   0.8240
   3.000   0.5256   0.00422   0.00115  -0.0257   0.5692   0.8274
   3.500   0.5820   0.00435   0.00125  -0.0261   0.5551   0.8295
   4.000   0.6349   0.00463   0.00145  -0.0259   0.5223   0.8332
   4.500   0.6832   0.00512   0.00179  -0.0248   0.4776   0.8366
   5.000   0.7242   0.00592   0.00232  -0.0224   0.4111   0.8403
   5.500   0.7472   0.00737   0.00327  -0.0170   0.2963   0.8422
   6.000   0.7397   0.00986   0.00507  -0.0073   0.1358   0.8472
   6.500   0.6918   0.01367   0.00838   0.0066   0.0067   0.8514
   7.000   0.7377   0.01457   0.00926   0.0063   0.0067   0.8527
   7.500   0.7841   0.01568   0.01038   0.0054   0.0059   0.8538
   8.000   0.8322   0.01684   0.01154   0.0040   0.0055   0.8547
   8.500   0.8813   0.01805   0.01276   0.0023   0.0055   0.8553
   9.000   0.9269   0.01946   0.01421   0.0009   0.0053   0.8558
   9.500   0.9772   0.02117   0.01597  -0.0021   0.0053   0.8567
  10.000   1.0292   0.02290   0.01773  -0.0053   0.0053   0.8580
