  
       XFOIL         Version 6.99
  
 Calculated polar for: fx79w151a.dat                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0860   0.00646   0.00116  -0.0528   0.5324   0.1300
  -1.500   0.1403   0.00637   0.00110  -0.0524   0.5220   0.1502
  -1.000   0.1947   0.00624   0.00105  -0.0521   0.5136   0.1797
  -0.500   0.2481   0.00612   0.00102  -0.0515   0.5034   0.2209
   0.000   0.3013   0.00599   0.00100  -0.0510   0.4945   0.2733
   0.500   0.3530   0.00580   0.00100  -0.0502   0.4849   0.3523
   1.000   0.4028   0.00559   0.00103  -0.0490   0.4739   0.4534
   1.500   0.4527   0.00536   0.00107  -0.0478   0.4656   0.5618
   2.000   0.5018   0.00517   0.00113  -0.0465   0.4561   0.6710
   2.500   0.5490   0.00500   0.00123  -0.0447   0.4447   0.7830
   3.000   0.6023   0.00483   0.00134  -0.0442   0.4366   0.8843
   3.500   0.7137   0.00487   0.00151  -0.0569   0.4246   0.9533
