  
       XFOIL         Version 6.99
  
 Calculated polar for: fxs21158.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2426   0.00741   0.00138  -0.0939   0.4071   0.0013
  -1.500   0.3009   0.00730   0.00129  -0.0943   0.4016   0.0146
  -1.000   0.3593   0.00715   0.00122  -0.0948   0.3961   0.0420
  -0.500   0.4177   0.00678   0.00112  -0.0954   0.3941   0.1480
   0.000   0.4754   0.00623   0.00098  -0.0962   0.3865   0.3131
   0.500   0.5324   0.00600   0.00098  -0.0966   0.3712   0.4201
   1.000   0.5897   0.00614   0.00107  -0.0969   0.3557   0.4355
   1.500   0.6469   0.00630   0.00119  -0.0971   0.3414   0.4466
   2.000   0.7029   0.00658   0.00137  -0.0972   0.3141   0.4516
   2.500   0.7475   0.00800   0.00216  -0.0956   0.1823   0.4542
   3.000   0.7958   0.00902   0.00279  -0.0945   0.0875   0.4601
   3.500   0.8470   0.00970   0.00328  -0.0938   0.0245   0.4660
   4.000   0.9005   0.01013   0.00364  -0.0936   0.0007   0.4705
   4.500   0.9548   0.01047   0.00396  -0.0934   0.0007   0.4736
   5.000   1.0084   0.01081   0.00432  -0.0932   0.0007   0.4823
   5.500   1.0613   0.01120   0.00473  -0.0928   0.0008   0.4885
   6.000   1.1131   0.01165   0.00518  -0.0923   0.0010   0.4920
   6.500   1.1637   0.01215   0.00572  -0.0915   0.0011   0.4967
   7.000   1.2120   0.01274   0.00638  -0.0904   0.0013   0.5055
   7.500   1.2595   0.01335   0.00704  -0.0892   0.0019   0.5108
   8.000   1.3037   0.01408   0.00783  -0.0873   0.0028   0.5149
