  
       XFOIL         Version 6.99
  
 Calculated polar for: giiia.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2040   0.00707   0.00130   0.0090   0.5918   0.0013
  -0.500  -0.0549   0.00581   0.00079   0.0124   0.4715   0.3295
   0.000  -0.0190   0.00465   0.00061   0.0162   0.4360   0.6637
   1.000   0.0826   0.00491   0.00069   0.0182   0.3010   0.7562
   1.500   0.1308   0.00514   0.00082   0.0197   0.2178   0.8160
   2.000   0.1821   0.00523   0.00094   0.0207   0.1861   0.8653
   3.000   0.2904   0.00560   0.00121   0.0214   0.1400   0.9099
   3.500   0.3382   0.00664   0.00174   0.0227   0.0013   0.9227
   4.000   0.3934   0.00685   0.00195   0.0227   0.0009   0.9331
   4.500   0.4484   0.00711   0.00219   0.0228   0.0009   0.9411
   5.000   0.5036   0.00738   0.00248   0.0229   0.0010   0.9501
   5.500   0.5578   0.00768   0.00278   0.0232   0.0013   0.9573
   6.000   0.6136   0.00801   0.00312   0.0231   0.0016   0.9644
   6.500   0.6668   0.00841   0.00355   0.0236   0.0019   0.9712
   7.000   0.7208   0.00887   0.00404   0.0238   0.0023   0.9766
   7.500   0.7781   0.00953   0.00477   0.0233   0.0024   0.9809
   8.000   0.8321   0.01039   0.00573   0.0234   0.0022   0.9853
   8.500   0.8823   0.01142   0.00687   0.0241   0.0020   0.9900
