  
       XFOIL         Version 6.99
  
 Calculated polar for: giiic.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1759   0.00641   0.00108   0.0011   0.7049   0.0014
  -1.500  -0.1201   0.00633   0.00094   0.0011   0.6748   0.0014
  -1.000  -0.0659   0.00602   0.00077   0.0014   0.6456   0.0621
  -0.500  -0.0151   0.00537   0.00061   0.0021   0.6143   0.2439
   0.000   0.0245   0.00385   0.00040   0.0048   0.5801   0.6974
   0.500   0.0791   0.00379   0.00041   0.0050   0.5517   0.7474
   1.000   0.1341   0.00381   0.00044   0.0052   0.5224   0.7861
   1.500   0.1893   0.00387   0.00050   0.0053   0.4906   0.8184
   2.000   0.2435   0.00401   0.00059   0.0056   0.4426   0.8526
   3.000   0.3439   0.00564   0.00118   0.0071   0.1301   0.8944
   3.500   0.3947   0.00662   0.00169   0.0077   0.0009   0.9067
   4.000   0.4499   0.00684   0.00191   0.0077   0.0009   0.9202
   4.500   0.5048   0.00708   0.00218   0.0078   0.0011   0.9340
   5.000   0.5596   0.00734   0.00247   0.0080   0.0014   0.9474
   5.500   0.6141   0.00763   0.00278   0.0082   0.0017   0.9606
   6.000   0.6680   0.00802   0.00322   0.0086   0.0019   0.9734
   6.500   0.7266   0.00864   0.00391   0.0078   0.0017   0.9826
   7.000   0.7815   0.00940   0.00477   0.0077   0.0015   0.9903
   7.500   0.8435   0.01043   0.00590   0.0058   0.0011   0.9928
