  
       XFOIL         Version 6.99
  
 Calculated polar for: giiih.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0986   0.00598   0.00089  -0.0188   0.7396   0.0015
  -1.500  -0.0427   0.00586   0.00073  -0.0188   0.7203   0.0015
  -1.000   0.0134   0.00577   0.00063  -0.0189   0.7006   0.0021
  -0.500   0.0685   0.00554   0.00054  -0.0188   0.6794   0.0484
   0.000   0.1132   0.00382   0.00034  -0.0175   0.6562   0.6111
   0.500   0.1666   0.00356   0.00034  -0.0171   0.6330   0.7244
   1.000   0.2216   0.00353   0.00038  -0.0169   0.6067   0.7749
   1.500   0.2741   0.00377   0.00046  -0.0163   0.5158   0.8198
   2.000   0.3261   0.00431   0.00063  -0.0158   0.3893   0.8428
   2.500   0.3745   0.00544   0.00100  -0.0150   0.1607   0.8633
   3.500   0.4781   0.00663   0.00169  -0.0138   0.0008   0.9170
   4.000   0.5309   0.00681   0.00193  -0.0132   0.0009   0.9500
   4.500   0.5868   0.00708   0.00224  -0.0133   0.0011   0.9766
   5.500   0.7136   0.00778   0.00294  -0.0171   0.0016   0.9947
   6.000   0.7765   0.00837   0.00360  -0.0189   0.0014   0.9987
   6.500   0.8302   0.00924   0.00457  -0.0188   0.0010   1.0000
