  
       XFOIL         Version 6.99
  
 Calculated polar for: giiij.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0879   0.00589   0.00093  -0.0197   0.7364   0.0199
  -1.500  -0.0318   0.00582   0.00083  -0.0196   0.7102   0.0227
  -1.000   0.0245   0.00578   0.00077  -0.0196   0.6852   0.0272
  -0.500   0.0803   0.00576   0.00067  -0.0195   0.6475   0.0303
   0.000   0.1358   0.00578   0.00060  -0.0193   0.6019   0.0356
   0.500   0.1881   0.00554   0.00056  -0.0187   0.5266   0.2012
   1.000   0.2315   0.00424   0.00053  -0.0169   0.4572   0.7398
   1.500   0.2858   0.00428   0.00060  -0.0165   0.4151   0.7977
   2.000   0.3393   0.00452   0.00072  -0.0160   0.3473   0.8383
   2.500   0.3922   0.00491   0.00090  -0.0155   0.2619   0.8726
   3.000   0.4445   0.00526   0.00111  -0.0147   0.1925   0.9119
   3.500   0.4948   0.00597   0.00146  -0.0137   0.0888   0.9437
   4.000   0.5485   0.00636   0.00172  -0.0132   0.0553   0.9720
   4.500   0.6097   0.00679   0.00202  -0.0146   0.0310   0.9866
   5.000   0.6726   0.00735   0.00243  -0.0164   0.0096   0.9935
   5.500   0.7366   0.00788   0.00289  -0.0183   0.0006   0.9978
   6.000   0.7986   0.00827   0.00326  -0.0199   0.0005   1.0000
   6.500   0.8477   0.00867   0.00365  -0.0185   0.0005   1.0000
   7.000   0.8973   0.00910   0.00409  -0.0172   0.0005   1.0000
   7.500   0.9480   0.00957   0.00458  -0.0163   0.0005   1.0000
   8.000   0.9992   0.01011   0.00514  -0.0154   0.0005   1.0000
   8.500   1.0503   0.01071   0.00578  -0.0147   0.0005   1.0000
   9.000   1.1011   0.01140   0.00652  -0.0139   0.0005   1.0000
   9.500   1.1512   0.01219   0.00738  -0.0131   0.0005   1.0000
  10.000   1.2004   0.01307   0.00834  -0.0121   0.0006   1.0000
