  
       XFOIL         Version 6.99
  
 Calculated polar for: glennmartin4.dat                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1004   0.00932   0.00336  -0.0506   0.4521   0.0248
  -1.500   0.1550   0.00928   0.00325  -0.0504   0.4351   0.0279
  -1.000   0.2096   0.00931   0.00320  -0.0502   0.4136   0.0304
  -0.500   0.2636   0.00943   0.00320  -0.0501   0.3833   0.0338
   0.000   0.3247   0.00947   0.00327  -0.0517   0.3620   0.0620
   0.500   0.3829   0.00964   0.00336  -0.0526   0.3423   0.0651
   1.000   0.4430   0.00977   0.00346  -0.0540   0.3271   0.0711
   1.500   0.5003   0.00989   0.00354  -0.0548   0.3178   0.0711
   2.000   0.5556   0.01001   0.00365  -0.0553   0.3106   0.0731
   2.500   0.6106   0.01013   0.00375  -0.0556   0.3047   0.0759
   3.000   0.6630   0.01031   0.00390  -0.0555   0.2955   0.0785
   3.500   0.7145   0.01047   0.00407  -0.0553   0.2886   0.0832
   4.500   0.8401   0.00989   0.00475  -0.0607   0.2815   0.6603
   5.500   1.0914   0.01114   0.00669  -0.0951   0.2645   0.9948
   6.000   1.2004   0.01128   0.00681  -0.1085   0.2607   0.9999
   6.500   1.2433   0.01165   0.00711  -0.1067   0.2470   1.0000
   7.000   1.2875   0.01190   0.00738  -0.1052   0.2460   1.0000
   7.500   1.3265   0.01235   0.00777  -0.1027   0.2339   1.0000
   8.000   1.3665   0.01275   0.00817  -0.1005   0.2281   1.0000
   8.500   1.3986   0.01349   0.00879  -0.0969   0.2044   1.0000
   9.000   1.4168   0.01479   0.00986  -0.0908   0.1640   1.0000
   9.500   1.4127   0.01707   0.01176  -0.0810   0.1022   1.0000
  10.000   1.3983   0.01995   0.01437  -0.0699   0.0331   1.0000
