  
       XFOIL         Version 6.99
  
 Calculated polar for: goe15k.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1625   0.00702   0.00196  -0.0945   0.7992   0.0064
  -1.500   0.2085   0.00693   0.00188  -0.0926   0.7954   0.0043
  -1.000   0.2561   0.00686   0.00182  -0.0911   0.7901   0.0032
  -0.500   0.3186   0.00587   0.00170  -0.0936   0.7869   0.2844
   0.000   0.3614   0.00568   0.00173  -0.0911   0.7844   0.3521
   0.500   0.3971   0.00560   0.00179  -0.0869   0.7779   0.4011
   1.000   0.4356   0.00548   0.00186  -0.0834   0.7683   0.4783
   1.500   0.4367   0.00447   0.00197  -0.0712   0.7615   0.8501
   3.000   0.3926   0.01104   0.00661  -0.0276   0.1844   0.9636
   3.500   0.4271   0.01292   0.00785  -0.0248   0.0022   0.9654
