  
       XFOIL         Version 6.99
  
 Calculated polar for: goe63.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4621   0.00738   0.00235  -0.1269   0.5586   0.0014
  -1.500   0.5215   0.00716   0.00209  -0.1271   0.5478   0.0014
  -1.000   0.5808   0.00701   0.00189  -0.1274   0.5350   0.0015
  -0.500   0.6403   0.00673   0.00158  -0.1278   0.5186   0.0143
   0.000   0.6986   0.00684   0.00162  -0.1279   0.4845   0.0184
   0.500   0.7552   0.00741   0.00208  -0.1279   0.4322   0.0213
   1.000   0.8122   0.00771   0.00211  -0.1280   0.3683   0.0219
   1.500   0.8699   0.00788   0.00209  -0.1282   0.3305   0.0226
   2.000   0.9278   0.00799   0.00213  -0.1284   0.3096   0.0240
   2.500   0.9856   0.00812   0.00221  -0.1286   0.2950   0.0251
   3.000   1.0433   0.00824   0.00227  -0.1288   0.2800   0.0272
   3.500   1.0980   0.00884   0.00257  -0.1287   0.2201   0.0298
   4.000   1.1453   0.01052   0.00352  -0.1276   0.0889   0.0345
   4.500   1.1942   0.01179   0.00449  -0.1264   0.0009   0.0588
   5.000   1.2494   0.01204   0.00489  -0.1264   0.0009   0.1836
   6.000   1.3550   0.01177   0.00593  -0.1256   0.0012   1.0000
   6.500   1.4078   0.01227   0.00640  -0.1251   0.0014   1.0000
   7.000   1.4598   0.01280   0.00691  -0.1245   0.0018   1.0000
   7.500   1.5111   0.01336   0.00745  -0.1237   0.0024   1.0000
   8.000   1.5612   0.01396   0.00804  -0.1228   0.0029   1.0000
   8.500   1.6095   0.01468   0.00879  -0.1215   0.0031   1.0000
   9.000   1.6547   0.01559   0.00974  -0.1198   0.0029   1.0000
   9.500   1.6933   0.01693   0.01117  -0.1171   0.0023   1.0000
  10.000   1.7300   0.01820   0.01252  -0.1141   0.0018   1.0000
