  
       XFOIL         Version 6.99
  
 Calculated polar for: goe770.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1377   0.00820   0.00204  -0.0438   0.4425   0.0020
  -1.500   0.1968   0.00813   0.00196  -0.0442   0.4338   0.0021
  -0.500   0.3128   0.00767   0.00174  -0.0447   0.4179   0.0947
   0.000   0.3663   0.00698   0.00157  -0.0444   0.4083   0.2685
   0.500   0.4203   0.00647   0.00149  -0.0443   0.3968   0.4222
   1.000   0.4777   0.00630   0.00156  -0.0446   0.3871   0.5072
   1.500   0.5372   0.00644   0.00166  -0.0452   0.3742   0.5191
   2.000   0.5965   0.00656   0.00177  -0.0458   0.3633   0.5316
   3.000   0.7146   0.00689   0.00203  -0.0471   0.3411   0.5489
   3.500   0.7742   0.00701   0.00215  -0.0478   0.3349   0.5568
   4.000   0.8324   0.00719   0.00232  -0.0484   0.3261   0.5710
   4.500   0.8905   0.00738   0.00250  -0.0490   0.3154   0.5842
   5.000   0.9463   0.00769   0.00276  -0.0492   0.2968   0.6000
   5.500   1.0008   0.00805   0.00306  -0.0493   0.2768   0.6215
   6.000   1.0264   0.01013   0.00452  -0.0451   0.1600   0.6477
   6.500   1.0216   0.01339   0.00715  -0.0364   0.0001   0.6829
   7.000   1.0604   0.01389   0.00781  -0.0341   0.0000   0.7437
   7.500   1.0996   0.01452   0.00867  -0.0322   0.0000   0.8340
   8.000   1.1305   0.01524   0.00975  -0.0290   0.0000   0.9606
   8.500   1.1710   0.01651   0.01105  -0.0287   0.0000   1.0000
   9.000   1.2032   0.01817   0.01273  -0.0275   0.0000   1.0000
   9.500   1.2332   0.02029   0.01488  -0.0269   0.0000   1.0000
  10.000   1.2603   0.02289   0.01752  -0.0266   0.0000   1.0000
