  
       XFOIL         Version 6.99
  
 Calculated polar for: gs1.dat                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2607   0.00638   0.00110  -0.1088   0.5417   0.0870
  -1.500   0.3170   0.00617   0.00102  -0.1086   0.5282   0.1291
  -1.000   0.3733   0.00608   0.00100  -0.1083   0.5129   0.1610
  -0.500   0.4295   0.00607   0.00099  -0.1080   0.4957   0.1815
   0.000   0.4858   0.00603   0.00100  -0.1078   0.4813   0.2153
   0.500   0.5419   0.00598   0.00104  -0.1075   0.4664   0.2575
   1.000   0.5981   0.00602   0.00109  -0.1072   0.4518   0.2851
   1.500   0.6539   0.00610   0.00117  -0.1069   0.4363   0.3073
   2.000   0.7066   0.00635   0.00132  -0.1060   0.3958   0.3323
   2.500   0.7575   0.00671   0.00152  -0.1048   0.3487   0.3596
   3.000   0.8023   0.00743   0.00191  -0.1025   0.2665   0.3874
   3.500   0.8179   0.00994   0.00332  -0.0951   0.0012   0.4140
   4.000   0.8690   0.01013   0.00359  -0.0940   0.0009   0.4619
   4.500   0.9185   0.01028   0.00391  -0.0926   0.0008   0.5551
   5.000   0.9567   0.00986   0.00433  -0.0889   0.0009   0.9156
   5.500   1.0238   0.01021   0.00475  -0.0913   0.0009   1.0000
   6.000   1.0700   0.01061   0.00513  -0.0893   0.0009   1.0000
   6.500   1.1147   0.01105   0.00555  -0.0870   0.0010   1.0000
   7.000   1.1563   0.01151   0.00599  -0.0841   0.0011   1.0000
   7.500   1.1910   0.01200   0.00648  -0.0798   0.0012   1.0000
   8.000   1.2252   0.01255   0.00704  -0.0756   0.0013   1.0000
   8.500   1.2581   0.01321   0.00773  -0.0714   0.0014   1.0000
   9.000   1.2901   0.01397   0.00851  -0.0673   0.0015   1.0000
   9.500   1.3217   0.01479   0.00936  -0.0634   0.0016   1.0000
  10.000   1.3545   0.01564   0.01023  -0.0598   0.0020   1.0000
