  
       XFOIL         Version 6.99
  
 Calculated polar for: hq1511.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0104   0.00536   0.00073  -0.0458   0.6618   0.1917
  -1.000   0.1009   0.00449   0.00049  -0.0460   0.6281   0.4304
  -0.500   0.1573   0.00428   0.00045  -0.0461   0.6067   0.5115
   0.000   0.2135   0.00417   0.00045  -0.0461   0.5785   0.5858
   0.500   0.2695   0.00433   0.00051  -0.0461   0.5249   0.6176
   1.000   0.3249   0.00460   0.00062  -0.0460   0.4616   0.6382
   1.500   0.3810   0.00483   0.00072  -0.0460   0.4185   0.6539
   2.000   0.4334   0.00546   0.00095  -0.0455   0.3027   0.6682
   2.500   0.4880   0.00584   0.00114  -0.0453   0.2455   0.6804
   3.000   0.5442   0.00603   0.00129  -0.0453   0.2251   0.6920
   3.500   0.6006   0.00621   0.00145  -0.0453   0.2123   0.7025
   4.000   0.6565   0.00640   0.00162  -0.0453   0.1980   0.7153
   4.500   0.7121   0.00661   0.00181  -0.0452   0.1799   0.7283
   5.000   0.7629   0.00729   0.00223  -0.0444   0.1131   0.7435
   5.500   0.8141   0.00787   0.00266  -0.0437   0.0734   0.7657
   6.000   0.8662   0.00832   0.00306  -0.0430   0.0512   0.7891
   6.500   0.9171   0.00881   0.00353  -0.0422   0.0323   0.8201
   7.000   0.9671   0.00928   0.00403  -0.0411   0.0202   0.8626
   7.500   1.0213   0.00953   0.00453  -0.0409   0.0152   1.0000
   8.000   1.0721   0.01005   0.00503  -0.0400   0.0121   1.0000
   8.500   1.1222   0.01060   0.00556  -0.0390   0.0099   1.0000
   9.000   1.1718   0.01115   0.00612  -0.0380   0.0086   1.0000
   9.500   1.2201   0.01176   0.00675  -0.0367   0.0075   1.0000
  10.000   1.2671   0.01241   0.00741  -0.0353   0.0065   1.0000
