  
       XFOIL         Version 6.99
  
 Calculated polar for: hq2590sm.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1547   0.00542   0.00068  -0.0838   0.7190   0.0394
  -1.500   0.2117   0.00522   0.00057  -0.0839   0.7075   0.0818
  -1.000   0.2686   0.00486   0.00049  -0.0842   0.6957   0.1895
  -0.500   0.3245   0.00419   0.00040  -0.0845   0.6815   0.4293
   0.000   0.3807   0.00396   0.00041  -0.0846   0.6602   0.5411
   0.500   0.4358   0.00404   0.00046  -0.0844   0.6054   0.6078
   1.000   0.4848   0.00483   0.00074  -0.0832   0.4327   0.6617
   1.500   0.5390   0.00519   0.00090  -0.0828   0.3656   0.6827
   2.000   0.5939   0.00547   0.00104  -0.0826   0.3213   0.6975
   2.500   0.6490   0.00573   0.00120  -0.0824   0.2849   0.7120
   3.000   0.7041   0.00597   0.00136  -0.0822   0.2552   0.7282
   3.500   0.7576   0.00637   0.00161  -0.0818   0.2053   0.7472
   4.000   0.8085   0.00702   0.00200  -0.0810   0.1309   0.7730
   4.500   0.8601   0.00755   0.00240  -0.0802   0.0833   0.8104
   5.000   0.9126   0.00791   0.00276  -0.0795   0.0609   0.8534
   5.500   0.9643   0.00821   0.00311  -0.0787   0.0478   0.9015
   6.000   1.0156   0.00868   0.00360  -0.0778   0.0237   1.0000
   6.500   1.0680   0.00920   0.00408  -0.0771   0.0179   1.0000
   7.000   1.1210   0.00962   0.00451  -0.0766   0.0170   1.0000
   7.500   1.1728   0.01015   0.00503  -0.0759   0.0150   1.0000
   8.000   1.2236   0.01077   0.00569  -0.0750   0.0132   1.0000
   8.500   1.2754   0.01120   0.00613  -0.0743   0.0127   1.0000
   9.000   1.3260   0.01174   0.00667  -0.0735   0.0114   1.0000
   9.500   1.3748   0.01244   0.00738  -0.0723   0.0095   1.0000
  10.000   1.4236   0.01306   0.00801  -0.0712   0.0081   1.0000
