  
       XFOIL         Version 6.99
  
 Calculated polar for: hq300gd2.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3551   0.00626   0.00138  -0.1132   0.5766   0.1811
  -1.500   0.4268   0.00557   0.00124  -0.1176   0.5695   0.3835
  -1.000   0.5022   0.00480   0.00115  -0.1230   0.5613   0.6435
  -0.500   0.5660   0.00474   0.00120  -0.1249   0.5538   0.7034
   0.000   0.6278   0.00480   0.00127  -0.1264   0.5464   0.7236
   0.500   0.6890   0.00489   0.00132  -0.1277   0.5396   0.7294
   1.000   0.7499   0.00499   0.00138  -0.1290   0.5314   0.7341
   1.500   0.8111   0.00507   0.00146  -0.1303   0.5242   0.7419
   2.000   0.8716   0.00520   0.00157  -0.1315   0.5149   0.7478
   2.500   0.9317   0.00536   0.00169  -0.1327   0.5039   0.7530
   3.000   0.9918   0.00550   0.00180  -0.1338   0.4923   0.7586
   3.500   1.0514   0.00568   0.00195  -0.1350   0.4770   0.7636
   4.000   1.1100   0.00595   0.00215  -0.1359   0.4567   0.7673
   4.500   1.1679   0.00626   0.00238  -0.1368   0.4319   0.7700
   5.000   1.2240   0.00673   0.00269  -0.1373   0.3983   0.7726
   5.500   1.2785   0.00730   0.00309  -0.1377   0.3591   0.7745
   6.000   1.3310   0.00800   0.00358  -0.1377   0.3164   0.7758
   6.500   1.3829   0.00867   0.00408  -0.1376   0.2796   0.7776
   7.000   1.4329   0.00940   0.00464  -0.1372   0.2434   0.7827
   7.500   1.4786   0.01035   0.00537  -0.1361   0.1994   0.7865
   8.000   1.5209   0.01140   0.00621  -0.1344   0.1599   0.7895
   8.500   1.5581   0.01259   0.00720  -0.1318   0.1236   0.7924
   9.000   1.5891   0.01383   0.00829  -0.1282   0.0950   0.7950
   9.500   1.6048   0.01534   0.00968  -0.1219   0.0703   0.7971
  10.000   1.6192   0.01745   0.01168  -0.1166   0.0474   0.7986
