  
       XFOIL         Version 6.99
  
 Calculated polar for: hq359.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2673   0.00560   0.00090  -0.1066   0.7128   0.0022
  -1.500   0.3242   0.00546   0.00064  -0.1066   0.6911   0.0018
  -1.000   0.3807   0.00543   0.00052  -0.1066   0.6655   0.0019
  -0.500   0.4371   0.00544   0.00049  -0.1067   0.6423   0.0027
   0.000   0.4932   0.00544   0.00048  -0.1067   0.6133   0.0295
   0.500   0.5474   0.00441   0.00053  -0.1073   0.5768   0.5385
   1.000   0.6012   0.00447   0.00069  -0.1070   0.5247   0.6629
   1.500   0.6543   0.00484   0.00086  -0.1066   0.4568   0.6911
   2.000   0.7071   0.00527   0.00105  -0.1061   0.3896   0.7074
   2.500   0.7592   0.00574   0.00128  -0.1056   0.3214   0.7252
   3.000   0.8050   0.00684   0.00177  -0.1041   0.1763   0.7441
   3.500   0.8461   0.00845   0.00267  -0.1016   0.0007   0.7651
   4.000   0.8995   0.00871   0.00297  -0.1012   0.0009   0.7911
   4.500   0.9524   0.00895   0.00328  -0.1007   0.0013   0.8298
   5.500   1.0539   0.00958   0.00430  -0.0987   0.0011   1.0000
   6.000   1.0992   0.01074   0.00560  -0.0967   0.0005   1.0000
   6.500   1.1485   0.01139   0.00628  -0.0956   0.0004   1.0000
   7.000   1.1932   0.01248   0.00745  -0.0937   0.0003   1.0000
   7.500   1.2301   0.01421   0.00930  -0.0904   0.0003   1.0000
   8.000   1.2537   0.01711   0.01236  -0.0849   0.0002   1.0000
   8.500   1.2863   0.01925   0.01465  -0.0811   0.0002   1.0000
   9.000   1.3160   0.02170   0.01729  -0.0770   0.0002   1.0000
   9.500   1.3378   0.02444   0.02028  -0.0718   0.0002   1.0000
  10.000   1.3446   0.02723   0.02334  -0.0642   0.0002   1.0000
