  
       XFOIL         Version 6.99
  
 Calculated polar for: hs1620.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3771   0.00771   0.00246  -0.1306   0.6032   0.1735
  -1.500   0.4336   0.00778   0.00249  -0.1306   0.5816   0.1823
  -1.000   0.4877   0.00794   0.00255  -0.1301   0.5504   0.1903
  -0.500   0.5379   0.00822   0.00268  -0.1287   0.5053   0.2007
   0.000   0.5861   0.00860   0.00286  -0.1269   0.4539   0.2069
   0.500   0.6312   0.00903   0.00310  -0.1245   0.4000   0.2186
   1.000   0.6686   0.00950   0.00337  -0.1203   0.3501   0.2263
   1.500   0.7147   0.00982   0.00361  -0.1182   0.3221   0.2391
   2.000   0.7634   0.01010   0.00387  -0.1166   0.3047   0.2547
   2.500   0.8139   0.01038   0.00415  -0.1154   0.2901   0.2785
   3.000   0.8656   0.01046   0.00449  -0.1148   0.2778   0.4041
   3.500   0.9197   0.01030   0.00485  -0.1148   0.2698   0.6242
   4.000   0.9709   0.01046   0.00524  -0.1140   0.2594   0.7320
   4.500   1.0213   0.01042   0.00567  -0.1129   0.2528   0.9080
   5.000   1.0615   0.01073   0.00610  -0.1093   0.2460   0.9746
   5.500   1.1145   0.01113   0.00646  -0.1089   0.2368   1.0000
   6.000   1.1647   0.01149   0.00679  -0.1080   0.2324   1.0000
   6.500   1.2116   0.01200   0.00724  -0.1064   0.2234   1.0000
   7.000   1.2591   0.01247   0.00770  -0.1049   0.2179   1.0000
   7.500   1.3057   0.01302   0.00820  -0.1034   0.2112   1.0000
   8.000   1.3520   0.01359   0.00874  -0.1019   0.2037   1.0000
   8.500   1.3971   0.01419   0.00933  -0.1001   0.1991   1.0000
   9.000   1.4396   0.01492   0.01001  -0.0980   0.1906   1.0000
   9.500   1.4846   0.01556   0.01066  -0.0964   0.1860   1.0000
  10.000   1.5237   0.01647   0.01152  -0.0938   0.1782   1.0000
