  
       XFOIL         Version 6.99
  
 Calculated polar for: ht23.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1450   0.00640   0.00093  -0.0083   0.5210   0.0268
  -1.500  -0.0879   0.00625   0.00077  -0.0083   0.4675   0.0620
  -1.000  -0.0306   0.00602   0.00064  -0.0084   0.4222   0.1384
   0.000   0.0843   0.00542   0.00053  -0.0088   0.3527   0.3935
   0.500   0.1419   0.00509   0.00054  -0.0091   0.3221   0.5572
   1.000   0.1993   0.00474   0.00059  -0.0093   0.2927   0.7396
   1.500   0.2546   0.00444   0.00067  -0.0089   0.2639   0.9042
   2.000   0.3051   0.00440   0.00072  -0.0071   0.2358   1.0033
   2.500   0.3625   0.00466   0.00082  -0.0071   0.1999   1.0033
   3.000   0.4197   0.00495   0.00097  -0.0071   0.1663   1.0033
   3.500   0.4769   0.00525   0.00114  -0.0071   0.1362   1.0033
   4.000   0.5338   0.00560   0.00135  -0.0071   0.1054   1.0033
   4.500   0.5905   0.00600   0.00162  -0.0070   0.0776   1.0033
   5.000   0.6470   0.00646   0.00194  -0.0069   0.0511   1.0033
   5.500   0.7034   0.00687   0.00228  -0.0068   0.0360   1.0033
   6.000   0.7597   0.00729   0.00264  -0.0067   0.0275   1.0033
   7.000   0.8718   0.00813   0.00346  -0.0063   0.0195   1.0033
   7.500   0.9275   0.00862   0.00397  -0.0061   0.0166   1.0033
   8.000   0.9831   0.00908   0.00444  -0.0059   0.0151   1.0033
   8.500   1.0378   0.00975   0.00514  -0.0055   0.0124   1.0033
   9.000   1.0928   0.01024   0.00567  -0.0052   0.0118   1.0033
   9.500   1.1471   0.01087   0.00632  -0.0049   0.0105   1.0033
  10.000   1.2002   0.01176   0.00729  -0.0044   0.0090   1.0033
