  
       XFOIL         Version 6.99
  
 Calculated polar for: isa961.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3509   0.00848   0.00165  -0.0932   0.1092   0.0685
  -1.500   0.4077   0.00851   0.00163  -0.0932   0.1048   0.0732
  -1.000   0.4644   0.00857   0.00166  -0.0932   0.1009   0.0754
  -0.500   0.5212   0.00863   0.00170  -0.0933   0.0999   0.0769
   0.000   0.5779   0.00870   0.00176  -0.0933   0.0995   0.0786
   0.500   0.6344   0.00879   0.00183  -0.0934   0.0985   0.0820
   1.000   0.6904   0.00879   0.00196  -0.0935   0.0955   0.1408
   1.500   0.7460   0.00896   0.00212  -0.0934   0.0879   0.1580
   2.000   0.7994   0.00937   0.00241  -0.0931   0.0521   0.1789
   2.500   0.8544   0.00942   0.00266  -0.0931   0.0498   0.2864
   4.500   1.0697   0.00935   0.00404  -0.0925   0.0418   1.0000
   5.000   1.1236   0.00963   0.00429  -0.0924   0.0412   1.0000
   5.500   1.1768   0.00996   0.00459  -0.0921   0.0396   1.0000
   6.000   1.2287   0.01040   0.00498  -0.0917   0.0350   1.0000
   6.500   1.2766   0.01118   0.00562  -0.0906   0.0121   1.0000
   7.000   1.3257   0.01182   0.00627  -0.0897   0.0078   1.0000
   7.500   1.3741   0.01246   0.00692  -0.0887   0.0057   1.0000
   8.000   1.4207   0.01320   0.00768  -0.0875   0.0042   1.0000
   8.500   1.4675   0.01385   0.00835  -0.0863   0.0038   1.0000
   9.000   1.5119   0.01463   0.00915  -0.0848   0.0032   1.0000
   9.500   1.5526   0.01560   0.01019  -0.0826   0.0027   1.0000
  10.000   1.5928   0.01646   0.01110  -0.0805   0.0025   1.0000
