  
       XFOIL         Version 6.99
  
 Calculated polar for: kc135b.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0480   0.00650   0.00116  -0.0240   0.6289   0.0307
  -1.500   0.0073   0.00637   0.00105  -0.0238   0.6173   0.0409
  -1.000   0.0619   0.00621   0.00095  -0.0236   0.6029   0.0710
  -0.500   0.0977   0.00456   0.00059  -0.0202   0.5851   0.5257
   0.000   0.1523   0.00445   0.00058  -0.0199   0.5681   0.5795
   0.500   0.2082   0.00444   0.00060  -0.0199   0.5542   0.6039
   1.000   0.2644   0.00448   0.00062  -0.0200   0.5363   0.6207
   1.500   0.3206   0.00454   0.00066  -0.0201   0.5199   0.6346
   2.500   0.4311   0.00482   0.00081  -0.0200   0.4646   0.6539
   3.000   0.4827   0.00521   0.00098  -0.0193   0.3980   0.6627
   3.500   0.5307   0.00580   0.00126  -0.0180   0.3081   0.6740
   4.000   0.5809   0.00623   0.00151  -0.0171   0.2512   0.6871
   4.500   0.6303   0.00667   0.00178  -0.0160   0.1967   0.7036
   5.000   0.6806   0.00702   0.00205  -0.0151   0.1637   0.7254
   5.500   0.7314   0.00724   0.00229  -0.0143   0.1441   0.7562
   6.000   0.7793   0.00750   0.00259  -0.0129   0.1216   0.8029
   6.500   0.8216   0.00788   0.00300  -0.0104   0.0875   0.8672
   7.000   0.8618   0.00840   0.00357  -0.0075   0.0508   0.9539
   7.500   0.9449   0.00928   0.00432  -0.0145   0.0258   0.9799
   8.000   1.0120   0.00987   0.00488  -0.0176   0.0204   0.9897
   8.500   1.0707   0.01048   0.00546  -0.0188   0.0168   0.9974
   9.500   1.1754   0.01163   0.00660  -0.0187   0.0135   1.0000
  10.000   1.2131   0.01215   0.00715  -0.0155   0.0123   1.0000
